model,bias,affected,unaffected,reversly_affected
Qwen2.5-72B-IT,left,2045,2056,300
Qwen2.5-72B-IT,center,912,3424,65
Qwen2.5-72B-IT,right,2524,1877,0
Qwen2.5-72B-IT,all,157,813,0
Mistral-Small-24B-IT,left,2834,1378,288
Mistral-Small-24B-IT,center,1298,2747,455
Mistral-Small-24B-IT,right,1505,2995,0
Mistral-Small-24B-IT,all,39,647,0
Phi-4-IT,left,1480,2569,352
Phi-4-IT,center,1284,3074,43
Phi-4-IT,right,1807,2268,326
Phi-4-IT,all,22,1205,0
Llama-3.3-70B-IT,left,1320,2543,538
Llama-3.3-70B-IT,center,1207,2895,299
Llama-3.3-70B-IT,right,1252,2982,167
Llama-3.3-70B-IT,all,13,1709,0
Gemma-2-27B-IT,left,2768,1335,393
Gemma-2-27B-IT,center,927,3182,386
Gemma-2-27B-IT,right,1724,2750,22
Gemma-2-27B-IT,all,278,653,0
GPT-4.1-IT,left,1625,2466,409
GPT-4.1-IT,center,935,3477,88
GPT-4.1-IT,right,2076,2406,18
GPT-4.1-IT,all,119,1518,0
Qwen2.5-72B-IT-HP,left,371,835,67
Qwen2.5-72B-IT-HP,center,204,1052,17
Qwen2.5-72B-IT-HP,right,639,634,0
Qwen2.5-72B-IT-HP,all,17,390,0
Mistral-Small-24B-IT-HP,left,647,561,65
Mistral-Small-24B-IT-HP,center,308,898,67
Mistral-Small-24B-IT-HP,right,467,805,1
Mistral-Small-24B-IT-HP,all,6,243,0
Phi-4-IT-HP,left,256,948,69
Phi-4-IT-HP,center,274,997,2
Phi-4-IT-HP,right,211,912,150
Phi-4-IT-HP,all,1,796,0
Llama-3.3-70B-IT-HP,left,218,898,157
Llama-3.3-70B-IT-HP,center,289,933,51
Llama-3.3-70B-IT-HP,right,377,847,49
Llama-3.3-70B-IT-HP,all,0,639,0
Gemma-2-27B-IT-HP,left,558,632,83
Gemma-2-27B-IT-HP,center,185,1023,65
Gemma-2-27B-IT-HP,right,461,810,2
Gemma-2-27B-IT-HP,all,57,377,0
GPT-4.1-IT-HP,left,252,947,74
GPT-4.1-IT-HP,center,170,1086,17
GPT-4.1-IT-HP,right,444,817,12
GPT-4.1-IT-HP,all,19,668,0
Qwen2.5-32B-IT,left,1377,3016,107
Qwen2.5-32B-IT,center,565,3825,110
Qwen2.5-32B-IT,right,2410,2054,36
Qwen2.5-32B-IT,all,11,1242,0
Qwen2.5-14B-IT,left,1544,2631,325
Qwen2.5-14B-IT,center,722,3710,68
Qwen2.5-14B-IT,right,1664,2824,12
Qwen2.5-14B-IT,all,42,1571,0
Qwen2.5-7B-IT,left,944,3257,299
Qwen2.5-7B-IT,center,866,3573,61
Qwen2.5-7B-IT,right,2005,2434,61
Qwen2.5-7B-IT,all,24,1781,0
Qwen2.5-3B-IT,left,175,4242,82
Qwen2.5-3B-IT,center,226,4241,32
Qwen2.5-3B-IT,right,179,4265,55
Qwen2.5-3B-IT,all,0,4080,0
Qwen2.5-1.5B-IT,left,1257,2962,281
Qwen2.5-1.5B-IT,center,354,2654,1492
Qwen2.5-1.5B-IT,right,276,2402,1822
Qwen2.5-1.5B-IT,all,0,2144,0
Qwen2.5-0.5B-IT,left,282,2984,1234
Qwen2.5-0.5B-IT,center,811,3011,678
Qwen2.5-0.5B-IT,right,1261,2864,375
Qwen2.5-0.5B-IT,all,4,2598,5
Llama-3.1-70B-IT,left,1455,2761,284
Llama-3.1-70B-IT,center,971,3272,257
Llama-3.1-70B-IT,right,2440,2006,54
Llama-3.1-70B-IT,all,38,1024,0
Llama-3.1-8B-IT,left,566,3280,654
Llama-3.1-8B-IT,center,1528,2933,39
Llama-3.1-8B-IT,right,2318,1893,289
Llama-3.1-8B-IT,all,0,1244,0
Llama-3-70B-IT,left,1099,2839,560
Llama-3-70B-IT,center,1335,2851,311
Llama-3-70B-IT,right,1430,2614,453
