bias_text,count,ratio,rank,input_media_bias,effect
Non-hyperpartisan,144,0.8470588235294118,1,center,affected
Hyperpartisan,26,0.15294117647058825,2,center,affected
Non-hyperpartisan,15,0.8823529411764706,1,center,reversely_affected
Hyperpartisan,2,0.11764705882352941,2,center,reversely_affected
Non-hyperpartisan,562,0.5174953959484346,1,center,unaffected
Hyperpartisan,524,0.48250460405156537,2,center,unaffected
Non-hyperpartisan,220,0.873015873015873,1,left,affected
Hyperpartisan,32,0.12698412698412698,2,left,affected
Non-hyperpartisan,68,0.918918918918919,1,left,reversely_affected
Hyperpartisan,6,0.08108108108108109,2,left,reversely_affected
Hyperpartisan,514,0.542766631467793,1,left,unaffected
Non-hyperpartisan,433,0.457233368532207,2,left,unaffected
Non-hyperpartisan,394,0.8873873873873874,1,right,affected
Hyperpartisan,50,0.11261261261261261,2,right,affected
Non-hyperpartisan,7,0.5833333333333334,1,right,reversely_affected
Hyperpartisan,5,0.4166666666666667,2,right,reversely_affected
Hyperpartisan,497,0.6083231334149327,1,right,unaffected
Non-hyperpartisan,320,0.39167686658506734,2,right,unaffected
