bias_text,count,ratio,rank,input_media_bias,effect
Non-hyperpartisan,140,0.7567567567567568,1,center,affected
Hyperpartisan,45,0.24324324324324326,2,center,affected
Non-hyperpartisan,64,0.9846153846153847,1,center,reversely_affected
Hyperpartisan,1,0.015384615384615385,2,center,reversely_affected
Non-hyperpartisan,517,0.5053763440860215,1,center,unaffected
Hyperpartisan,506,0.4946236559139785,2,center,unaffected
Non-hyperpartisan,450,0.8064516129032258,1,left,affected
Hyperpartisan,108,0.1935483870967742,2,left,affected
Non-hyperpartisan,63,0.7590361445783133,1,left,reversely_affected
Hyperpartisan,20,0.24096385542168675,2,left,reversely_affected
Hyperpartisan,424,0.6708860759493671,1,left,unaffected
Non-hyperpartisan,208,0.3291139240506329,2,left,unaffected
Non-hyperpartisan,278,0.6030368763557483,1,right,affected
Hyperpartisan,183,0.3969631236442516,2,right,affected
Non-hyperpartisan,1,0.5,1,right,reversely_affected
Hyperpartisan,1,0.5,1,right,reversely_affected
Non-hyperpartisan,442,0.5456790123456791,1,right,unaffected
Hyperpartisan,368,0.454320987654321,2,right,unaffected
