bias_text,count,ratio,rank,input_media_bias,effect
Non-hyperpartisan,203,0.7024221453287197,1,center,affected
Hyperpartisan,86,0.2975778546712803,2,center,affected
Non-hyperpartisan,50,0.9803921568627451,1,center,reversely_affected
Hyperpartisan,1,0.0196078431372549,2,center,reversely_affected
Non-hyperpartisan,468,0.5016077170418006,1,center,unaffected
Hyperpartisan,465,0.4983922829581994,2,center,unaffected
Non-hyperpartisan,178,0.8165137614678899,1,left,affected
Hyperpartisan,40,0.1834862385321101,2,left,affected
Non-hyperpartisan,99,0.6305732484076433,1,left,reversely_affected
Hyperpartisan,58,0.36942675159235666,2,left,reversely_affected
Hyperpartisan,454,0.5055679287305123,1,left,unaffected
Non-hyperpartisan,444,0.49443207126948774,2,left,unaffected
Non-hyperpartisan,274,0.726790450928382,1,right,affected
Hyperpartisan,103,0.27320954907161804,2,right,affected
Non-hyperpartisan,37,0.7551020408163265,1,right,reversely_affected
Hyperpartisan,12,0.24489795918367346,2,right,reversely_affected
Hyperpartisan,437,0.5159386068476978,1,right,unaffected
Non-hyperpartisan,410,0.48406139315230223,2,right,unaffected
