bias_text,count,ratio,rank,input_media_bias,effect
left,527,0.43661971830985913,1,center,affected
center,457,0.37862468931234466,2,center,affected
right,223,0.18475559237779618,3,center,affected
center,145,0.48494983277591974,1,center,reversely_affected
left,98,0.3277591973244147,2,center,reversely_affected
right,56,0.18729096989966554,3,center,reversely_affected
right,1122,0.38756476683937824,1,center,unaffected
center,898,0.31018998272884285,2,center,unaffected
left,875,0.3022452504317789,3,center,unaffected
center,537,0.4068181818181818,1,left,affected
left,499,0.37803030303030305,2,left,affected
right,284,0.21515151515151515,3,left,affected
left,233,0.43308550185873607,1,left,reversely_affected
center,226,0.4200743494423792,2,left,reversely_affected
right,79,0.14684014869888476,3,left,reversely_affected
right,1038,0.40817931576877703,1,left,unaffected
left,768,0.3020055053086905,2,left,unaffected
center,737,0.28981517892253245,3,left,unaffected
center,548,0.43769968051118213,1,right,affected
left,526,0.42012779552715657,2,right,affected
right,178,0.14217252396166133,3,right,affected
left,90,0.5389221556886228,1,right,reversely_affected
center,58,0.3473053892215569,2,right,reversely_affected
right,19,0.11377245508982035,3,right,reversely_affected
right,1204,0.40375586854460094,1,right,unaffected
center,894,0.29979879275653926,2,right,unaffected
left,884,0.2964453386988598,3,right,unaffected
