bias_text,count,ratio,rank,input_media_bias,effect
center,480,0.3697996918335901,1,center,affected
left,475,0.3659476117103236,2,center,affected
right,343,0.2642526964560863,3,center,affected
center,219,0.48131868131868133,1,center,reversely_affected
left,166,0.3648351648351648,2,center,reversely_affected
right,70,0.15384615384615385,3,center,reversely_affected
right,1087,0.3957044048052421,1,center,unaffected
left,859,0.31270476883873316,2,center,unaffected
center,801,0.29159082635602473,3,center,unaffected
center,990,0.34932956951305577,1,left,affected
right,934,0.3295695130557516,2,left,affected
left,910,0.3211009174311927,3,left,affected
left,134,0.4652777777777778,1,left,reversely_affected
center,113,0.3923611111111111,2,left,reversely_affected
right,41,0.1423611111111111,3,left,reversely_affected
right,525,0.38098693759071117,1,left,unaffected
left,456,0.3309143686502177,2,left,unaffected
center,397,0.2880986937590711,3,left,unaffected
left,656,0.43588039867109635,1,right,affected
center,624,0.41461794019933557,2,right,affected
right,225,0.14950166112956811,3,right,affected
right,1275,0.4257095158597663,1,right,unaffected
center,876,0.2924874791318865,2,right,unaffected
left,844,0.28180300500834726,3,right,unaffected
