bias_text,count,ratio,rank,input_media_bias,effect
Non-hyperpartisan,167,0.6094890510948905,1,center,affected
Hyperpartisan,107,0.3905109489051095,2,center,affected
Non-hyperpartisan,2,1.0,1,center,reversely_affected
Non-hyperpartisan,552,0.5536609829488466,1,center,unaffected
Hyperpartisan,445,0.4463390170511535,2,center,unaffected
Non-hyperpartisan,165,0.64453125,1,left,affected
Hyperpartisan,91,0.35546875,2,left,affected
Hyperpartisan,38,0.5507246376811594,1,left,reversely_affected
Non-hyperpartisan,31,0.4492753623188406,2,left,reversely_affected
Non-hyperpartisan,525,0.5537974683544303,1,left,unaffected
Hyperpartisan,423,0.4462025316455696,2,left,unaffected
Non-hyperpartisan,128,0.6066350710900474,1,right,affected
Hyperpartisan,83,0.3933649289099526,2,right,affected
Non-hyperpartisan,97,0.6466666666666666,1,right,reversely_affected
Hyperpartisan,53,0.35333333333333333,2,right,reversely_affected
Non-hyperpartisan,496,0.543859649122807,1,right,unaffected
Hyperpartisan,416,0.45614035087719296,2,right,unaffected
