bias_text,count,ratio,rank,input_media_bias,effect
center,446,0.34735202492211836,1,center,affected
right,442,0.3442367601246106,2,center,affected
left,396,0.308411214953271,3,center,affected
center,18,0.4186046511627907,1,center,reversely_affected
left,16,0.37209302325581395,2,center,reversely_affected
right,9,0.20930232558139536,3,center,reversely_affected
left,1088,0.35393623942745606,1,center,unaffected
center,1036,0.33702016916070265,2,center,unaffected
right,950,0.30904359141184123,3,center,unaffected
right,539,0.3641891891891892,1,left,affected
center,532,0.35945945945945945,2,left,affected
left,409,0.27635135135135136,3,left,affected
center,140,0.3977272727272727,1,left,reversely_affected
left,132,0.375,2,left,reversely_affected
right,80,0.22727272727272727,3,left,reversely_affected
left,959,0.37329700272479566,1,left,unaffected
center,828,0.32230439859867654,2,left,unaffected
right,782,0.30439859867652785,3,left,unaffected
left,651,0.3602656336469286,1,right,affected
center,651,0.3602656336469286,1,right,affected
right,505,0.27946873270614275,2,right,affected
right,149,0.4570552147239264,1,right,reversely_affected
center,100,0.3067484662576687,2,right,reversely_affected
left,77,0.2361963190184049,3,right,reversely_affected
left,772,0.3403880070546737,1,right,unaffected
center,749,0.33024691358024694,2,right,unaffected
right,747,0.32936507936507936,3,right,unaffected
