bias_text,count,ratio,rank,input_media_bias,effect
center,318,0.34868421052631576,1,center,affected
left,301,0.3300438596491228,2,center,affected
right,293,0.32127192982456143,3,center,affected
center,31,0.47692307692307695,1,center,reversely_affected
left,24,0.36923076923076925,2,center,reversely_affected
right,10,0.15384615384615385,3,center,reversely_affected
left,1175,0.3431658878504673,1,center,unaffected
center,1151,0.33615654205607476,2,center,unaffected
right,1098,0.32067757009345793,3,center,unaffected
center,788,0.38533007334963326,1,left,affected
right,645,0.3154034229828851,2,left,affected
left,612,0.29926650366748164,3,left,affected
left,125,0.4166666666666667,1,left,reversely_affected
center,118,0.3933333333333333,2,left,reversely_affected
right,57,0.19,3,left,reversely_affected
left,763,0.3711089494163424,1,left,unaffected
right,699,0.3399805447470817,2,left,unaffected
center,594,0.28891050583657585,3,left,unaffected
left,1043,0.4132329635499208,1,right,affected
center,1032,0.40887480190174325,2,right,affected
right,449,0.17789223454833597,3,right,affected
right,952,0.5071923281832712,1,right,unaffected
center,468,0.24933404368673415,2,right,unaffected
left,457,0.24347362812999468,3,right,unaffected
