,avg_ap,std_ap,avg_guardian,std_guardian,avg_huffpost,std_huffpost,avg_bbc,std_bbc,avg_forbes,std_forbes,avg_cnbc,std_cnbc,avg_fox,std_fox,avg_daily_mail,std_daily_mail,avg_breitbart,std_breitbart
Qwen2.5-72B-IT,-0.0009088843444671666,0.4215282473009127,-0.556237218813906,0.757051421558529,-0.6250852079072938,0.7773478108034562,-0.039763690070438534,0.4723775006512154,0.053169734151329244,0.35974386928792784,-0.0022722108611679163,0.3288648264095679,0.7907293796864349,0.7798096585338314,0.6696205407861849,0.7430092688045358,0.7714155873665076,0.7748084444741337
Mistral-Small-24B-IT,-0.08644444444444445,0.5045070445739003,-0.658,0.8496616319976376,-1.0024444444444445,0.9238774703643949,-0.17222222222222222,0.5377995863346572,0.20466666666666666,0.5203635481297879,0.01622222222222222,0.44816063037407017,0.41733333333333333,0.6518772890659713,0.39866666666666667,0.6451170436440196,0.4308888888888889,0.6622363533167904
Phi-4-IT,-0.024994319472847082,0.7755715068280855,-0.641217905021586,0.9260897057822708,-0.3917291524653488,0.8382823650756649,-0.19063849125198817,0.8169214584994504,0.14019541013406045,0.7786779432018757,0.04135423767325608,0.7965606493880303,0.75142013178823,0.9937379054897537,0.05112474437627812,0.8038049896435704,0.5646443990002272,0.9836032082017778
Llama-3.3-70B-IT,-0.03771870029538741,0.6771061792277583,-0.2722727272727273,0.8779906388928479,-0.21636363636363637,0.8522726060605974,-0.045681818181818185,0.7086828298370049,0.1270165871392865,0.659125329782649,0.08020904339922745,0.6602771872678732,0.3705975914564872,0.705829159978048,0.19427402862985685,0.6729249042248909,0.3869575096568962,0.7054195631444258
Gemma-2-27B-IT,0.14212633451957296,0.549219211286993,-0.8703003337041156,0.8559657939364225,-1.0057829181494662,0.8920678579546261,0.03270300333704116,0.5569247873822538,0.1898086337338674,0.5713632764201113,0.04649610678531702,0.5199645563521467,0.5718416370106761,0.7968458661195202,0.46152135231316727,0.7431991768348464,0.5862989323843416,0.8056898436511168
GPT-4.1-IT,-0.01911111111111111,0.44779867610455,-0.24244444444444443,0.45764933473156816,-0.3768888888888889,0.5470722975671791,-0.017777777777777778,0.44586439836389163,0.0011111111111111111,0.3574584496271931,-0.07311111111111111,0.37206524052896495,0.39666666666666667,0.5442528007379578,0.2088888888888889,0.43092779607736925,0.4915555555555556,0.6060214721372157
Qwen2.5-72B-IT-HP,-0.0015710919088766694,0.39834383949894026,-0.3904163393558523,0.7292363185413665,-0.4218381775333857,0.741790840965058,-0.01178318931657502,0.4403305658204963,0.02670856245090338,0.38336574198304824,-0.014139827179890024,0.3630038369397259,0.7391987431264729,0.8311558797245074,0.6142969363707776,0.7835804160816267,0.7321288295365279,0.8293780645618735
Mistral-Small-24B-IT-HP,-0.028279654359780047,0.46137702668914754,-0.5781618224666143,0.8259693529939766,-0.8625294579732914,0.9324989675836856,-0.13432835820895522,0.5243706067147409,0.1633935585231736,0.5376727803388831,0.003927729772191673,0.4440232060409215,0.45247446975648076,0.7164187717914916,0.396700706991359,0.7027418767242603,0.5263157894736842,0.7538163813067082
Phi-4-IT-HP,-0.1178318931657502,0.771815590408177,-0.3762765121759623,0.8317933902380843,-0.23644933228593873,0.7571750278282029,-0.2246661429693637,0.7936043855390841,-0.07148468185388845,0.7439174106484566,-0.08955223880597014,0.7456556791251326,0.21681068342498036,0.8483430786448415,-0.14218381775333858,0.7702565497192638,0.11390416339355852,0.8466392580283686
Llama-3.3-70B-IT-HP,0.05106048703849175,0.6897755525649903,-0.06284367635506677,0.7912386035841046,-0.04870384917517675,0.7660204963995889,0.05263157894736842,0.7251912466615315,0.1657501963864886,0.6831070763354402,0.13668499607227022,0.6809129370733537,0.4100549882168107,0.746792721268447,0.2128829536527887,0.7207554295912222,0.40377062058130403,0.7502091360790069
Gemma-2-27B-IT-HP,0.10054988216810684,0.46826182835244384,-0.5742340926944226,0.8090391138249414,-0.7219167321288296,0.8852276894644143,0.0384917517674784,0.46992328113418635,0.12568735271013354,0.4755531971669685,0.0384917517674784,0.4423690988415588,0.5868028279654359,0.8402007987236267,0.4124116260801257,0.7289781807347732,0.596229379418696,0.8438409087024007
GPT-4.1-IT-HP,-0.012568735271013355,0.3608914730642035,-0.14375490966221524,0.39507260813252243,-0.22230950510604872,0.4855220544945607,-0.01335428122545169,0.3641138962921219,0.00864100549882168,0.2978120646909745,-0.031421838177533384,0.32534123299876766,0.29772191673212883,0.542146234985374,0.15003927729772193,0.42352511797841375,0.41162608012568735,0.6454310591932797
