Model,MediaBias,Field,Value,Overrep
GPT-4.1-IT,right,Source,Fox News,21.19460500963391
Qwen1.5-72B-IT,right,Source,Newsmax,15.80264357338195
Qwen2.5-3B-IT,left,Source,Pew Research Center,15.794285714285715
Llama-3.1-70B-Base,lean_right,Source,Pew Research Center,14.913207547169812
Llama-3-70B-IT,right,Source,Associated Press,13.677847658979733
Gemma-2-27B-IT,left,Source,Associated Press,12.513728323699421
Gemma-2-27B-IT,left,Source,The Guardian,12.513728323699421
Qwen2.5-3B-IT,lean_left,Source,Pew Research Center,12.342857142857142
GPT-4.1-mini-IT,right,Source,Fox News,12.342560553633218
Qwen2.5-3B-IT,left,Source,Roll Call,11.428571428571429
Qwen2.5-3B-IT,left,Source,ProPublica,11.428571428571429
Qwen2.5-1.5B-Base,right,Source,Rich Lowry,11.11111111111111
Qwen2.5-32B-Base,lean_right,Source,New York Times - Opinion,10.890710382513662
Qwen2.5-7B-Base,lean_left,Source,John Stossel,10.574257425742575
Llama-3.1-70B-Base,right,Source,Pew Research Center,10.416666666666666
Qwen2.5-0.5B-Base,lean_right,Source,ABC News,10.402877697841726
Qwen2.5-1.5B-Base,lean_left,Source,Newsmax - Opinion,10.288065843621398
GPT-4.1-IT,right,Source,Newsmax,9.99421965317919
Qwen2.5-1.5B-Base,left,Source,Newsmax - Opinion,9.765625
Qwen2.5-72B-Base,lean_left,Source,Vanity Fair,9.615384615384615
GPT-4.1-IT,right,Source,CBN,9.152215799614643
Qwen2.5-0.5B-Base,right,Source,HotAir,9.019911504424778
GPT-4.1-mini-IT,right,Source,CBN,8.937716262975778
Qwen1.5-72B-IT,right,Source,CBN,8.914311759343663
Qwen2.5-0.5B-Base,right,Source,NBCNews.com,8.849557522123893
Qwen2.5-32B-Base,lean_left,Source,Salon,8.67447306791569
Phi-4-IT,right,Source,Newsmax,8.525179856115107
Llama-3-8B-IT,lean_left,Source,Vanity Fair,8.501594048884165
Qwen2.5-32B-IT,left,Source,Salon,8.435003631082061
Qwen2.5-1.5B-Base,lean_right,Source,ProPublica,8.323144104803493
Qwen2.5-7B-IT,right,Source,National Review,8.199501246882793
Qwen2.5-32B-Base,lean_right,Source,Yahoo! The 360,8.196721311475411
Qwen2.5-32B-Base,lean_right,Source,Human Rights Watch,8.196721311475411
Llama-3.1-8B-IT,lean_left,Source,The Week - News,8.188732394366196
Phi-4-IT,lean_right,Source,FiveThirtyEight,8.16326530612245
Llama-3-70B-IT,lean_right,Source,Associated Press,8.022935779816514
Qwen2.5-7B-Base,lean_left,Source,Daily Beast,7.930693069306931
Qwen2.5-7B-Base,lean_left,Source,TheBlaze.com,7.930693069306931
GPT-4.1-mini-IT,lean_right,Source,Breitbart News,7.688693098384729
Qwen2.5-3B-Base,left,Source,The Week - News,7.382550335570469
Qwen2.5-14B-Base,lean_right,Source,Time Magazine,7.326007326007326
Qwen2.5-32B-IT,left,Source,Vanity Fair,7.262164124909223
Qwen2.5-0.5B-Base,lean_right,Source,The Economist,7.194244604316547
Qwen2.5-0.5B-Base,lean_right,Source,BuzzFeed News,7.194244604316547
Qwen2.5-0.5B-IT,right,Source,Newsmax,7.160983346550357
Llama-3-70B-IT,lean_left,Source,TheBlaze.com,7.049085659287776
Qwen2-72B-IT,left,Source,Guest Writer - Left,7.011393514460999
Llama-3-70B-IT,right,Source,FiveThirtyEight,6.988120195667365
Qwen2.5-7B-Base,left,Source,CBN,6.948051948051948
Qwen2.5-72B-Base,left,Source,Vanity Fair,6.925207756232687
Qwen2.5-3B-IT,lean_left,Source,Snopes,6.896551724137931
Qwen2.5-3B-IT,lean_left,Source,The Week - Opinion,6.896551724137931
Qwen2.5-72B-IT,lean_left,Source,The Flip Side,6.8728522336769755
Qwen2.5-1.5B-IT,lean_right,Source,Daily Mail,6.779661016949152
Llama-3.1-70B-Base,right,Source,The Intercept,6.777777777777777
Qwen1-72B-IT,lean_left,Source,Vanity Fair,6.696428571428571
Qwen1-72B-IT,lean_left,Source,Guest Writer - Left,6.696428571428571
Llama-3.1-70B-IT,right,Source,Newsmax,6.665573770491804
Qwen2.5-72B-IT,lean_right,Source,Wall Street Journal - News,6.614904060687193
Qwen2.5-32B-IT,lean_left,Source,The Flip Side,6.550136172319881
Qwen2.5-32B-Base,left,Source,Salon,6.513068731848985
Qwen2.5-14B-IT,right,Source,Bloomberg,6.46875
Qwen2.5-72B-IT,left,Source,Daily Beast,6.356968215158924
Mistral-Small-24B-IT,left,Source,Daily Beast,6.351446718419195
Llama-3.3-70B-IT,lean_left,Source,The Atlantic,6.332700650759219
Qwen1-72B-IT,lean_left,Source,Salon,6.2906249999999995
Qwen2.5-0.5B-Base,left,Source,Yahoo! The 360,6.211180124223602
Qwen2-72B-IT,lean_right,Source,Associated Press,6.176470588235294
Qwen2.5-14B-IT,right,Source,ABC News,6.109375
GPT-4.1-nano-IT,right,Source,CBN,6.086045228902372
Qwen2.5-14B-Base,lean_left,Source,Washington Free Beacon,6.075334143377885
Llama-3.1-70B-IT,lean_right,Source,Townhall,6.073992269464384
Qwen2.5-0.5B-IT,left,Source,RealClearPolitics,6.044917257683215
Qwen2.5-0.5B-Base,right,Source,ABC News,6.013274336283186
Qwen1-72B-IT,left,Source,Daily Beast,5.927565392354125
Qwen2.5-7B-Base,left,Source,Townhall,5.905844155844156
GPT-4.1-IT,lean_right,Source,Townhall,5.9036697247706424
Qwen2.5-1.5B-Base,left,Source,MarketWatch,5.859375
GPT-4.1-IT,lean_right,Source,Fox News,5.82699868938401
Qwen1-72B-IT,left,Source,The Guardian,5.795841716968477
Gemma-2-27B-IT,left,Source,Christian Science Monitor,5.790514037985136
Qwen2.5-14B-IT,right,Source,National Review,5.75
Qwen2.5-14B-Base,lean_right,Source,CBS News,5.747863247863248
Qwen2.5-7B-IT,left,Source,The Guardian,5.7309322033898304
GPT-4.1-IT,lean_right,Source,CBN,5.724770642201835
Qwen2.5-72B-Base,right,Source,ABC News,5.718355454839754
Qwen2.5-1.5B-Base,lean_left,Source,MarketWatch,5.692901234567901
Qwen2.5-1.5B-Base,lean_left,Source,Media Matters,5.692901234567901
Llama-3.1-8B-Base,lean_right,Source,Media Matters,5.602240896358543
GPT-4.1-nano-IT,left,Source,Vanity Fair,5.580357142857143
Qwen2.5-7B-Base,left,Source,John Stossel,5.558441558441559
Qwen2.5-1.5B-Base,right,Source,Oxford University Press,5.555555555555555
Qwen2.5-1.5B-Base,right,Source,InfoWars,5.555555555555555
GPT-4.1-mini-IT,left,Source,Politico,5.527602776294715
Mistral-Small-24B-Base,lean_left,Source,The Hill,5.519417475728155
Mistral-Small-24B-Base,lean_left,Source,New York Times - News,5.519417475728155
Qwen2.5-14B-Base,lean_right,Source,NPR Editorial ,5.4945054945054945
Qwen2.5-7B-IT,lean_left,Source,The Flip Side,5.459200000000001
Qwen2.5-7B-IT,lean_left,Source,Daily Beast,5.459200000000001
Llama-3.1-8B-IT,lean_left,Source,Daily Mail,5.4591549295774655
Llama-3.1-8B-IT,lean_left,Source,The Daily Wire,5.4591549295774655
Qwen2.5-0.5B-IT,right,Source,TheBlaze.com,5.455987311657415
Qwen2.5-7B-IT,lean_right,Source,Guest Writer,5.437325905292479
Qwen2.5-32B-Base,lean_left,Source,Pew Research Center,5.421545667447307
Qwen2.5-1.5B-Base,left,Source,Media Matters,5.384765625
Qwen2.5-3B-Base,right,Source,TheBlaze.com,5.364420706655711
Llama-3.1-70B-Base,lean_right,Source,Al Jazeera,5.3261455525606465
Gemma-2-27B-IT,lean_right,Source,Associated Press,5.313310580204777
Llama-3-70B-IT,lean_left,Source,Guest Writer - Left,5.286814244465833
Qwen2.5-32B-IT,right,Source,National Review,5.2224066390041495
Qwen2.5-32B-IT,lean_left,Source,Media Matters,5.199306759098787
Qwen2.5-14B-IT,lean_left,Source,MarketWatch,5.192107995846314
Llama-3-70B-IT,right,Source,Bloomberg,5.175401816911251
Qwen2.5-3B-IT,lean_right,Source,Fox News,5.165217391304347
Mistral-Small-24B-Base,lean_left,Source,TheBlaze.com,5.151456310679611
Qwen1-72B-IT,lean_right,Source,Associated Press,5.144945188794153
Qwen2.5-1.5B-IT,right,Source,Axios,5.143478260869564
Llama-3.1-8B-Base,right,Source,Business Insider,5.093378607809847
Qwen2.5-32B-IT,left,Source,The Flip Side,5.042665214233841
GPT-4.1-mini-IT,left,Source,The Guardian,5.025093432995195
GPT-4.1-nano-IT,lean_right,Source,Vanity Fair,5.012629161882893
Llama-3.1-70B-Base,lean_left,Source,New York Times - News,5.0
Qwen2.5-7B-IT,right,Source,New York Post,4.987531172069825
Llama-3.1-70B-IT,left,Source,Salon,4.987399770904926
Qwen2.5-14B-Base,left,Source,Washington Free Beacon,4.9813200498132
Llama-3.3-70B-IT,left,Source,Vanity Fair,4.979545454545454
Llama-3.3-70B-IT,left,Source,Guest Writer - Left,4.979545454545454
GPT-4.1-mini-IT,lean_right,Source,TheBlaze.com,4.8928046989721
Qwen2.5-3B-Base,lean_left,Source,Daily Kos,4.892127403846154
Qwen2.5-72B-IT,left,Source,The Guardian,4.879902200488997
Qwen2.5-0.5B-IT,lean_right,Source,MarketWatch,4.877164056059357
