model,SIPS,AS,AC
Qwen-2.5-72B,0.4137652648466812,0.42445656290237066,0.5047489206998409
Mistral-small-24B,0.361513918480537,0.3848740740740741,0.4381333333333333
Phi-4-14B,0.30288838171942506,0.4298265545709309,0.36737105203362874
Llama-3.3-70B,0.2529433269826927,0.3465954707263501,0.3418314019541014
Gemma-2-27B,0.4084236130052013,0.44203703703703706,0.48680000000000007
Qwen-2.5-72B-HP,0.34500427493197927,0.3715632364493323,0.4359780047132758
Mistral-small-24B-HP,0.3323944911463021,0.358496988740508,0.4218381775333857
Phi-4-14B-HP,0.1732956164285487,0.33440691280439905,0.2774548311076198
Llama-3.3-70B-HP,0.21520373360458095,0.3338832155014402,0.31704634721131186
Gemma-2-27B-HP,0.32234116690965536,0.34344069128043997,0.4284367635506677
Qwen-2.5-72B,0.4137652648466812,0.42445656290237066,0.5047489206998409
Qwen-2.5-32B,0.23882204764107712,0.208,0.4155111111111111
Qwen-2.5-14B,0.26233684224606896,0.2777185185185186,0.3808
Qwen-2.5-7B,0.22066298849350907,0.258762962962963,0.34955555555555556
Qwen-2.5-3B,0.03736443848536629,0.06242222222222223,0.2157777777777778
Qwen-2.5-1.5B,0.19797923068984158,0.32557037037037034,0.26426666666666665
Qwen-2.5-0.5B,0.2015460460103151,0.39851111111111115,0.2704
Llama-3.1-70B,0.3016870727122957,0.30627407407407414,0.4336444444444445
Llama-3.1-8B,0.2336396377683848,0.3268888888888889,0.30173333333333335
Llama-3-70B,0.271242981764431,0.42663703703703704,0.34342222222222224
Llama-3-8B,0.2301829296053902,0.25753333333333334,0.3479555555555556
Qwen-2.5-72B,0.4137652648466812,0.42445656290237066,0.5047489206998409
Qwen-2-72B,0.23335189511467894,0.2776962962962963,0.3476000000000001
Qwen-1.5-72B,0.33561389786444407,0.39894074074074076,0.39755555555555555
Qwen-1-72B,0.3065005670919136,0.3429925925925926,0.4035111111111111
Qwen-2.5-70B-non-IT,0.29523877195424536,0.3479777777777778,0.3997777777777778
Qwen-2.5-32B-non-IT,0.23612320383838808,0.28014074074074075,0.31559999999999994
Qwen-2.5-14B-non-IT,0.18752021582766923,0.2165037037037037,0.3234666666666666
Qwen-2.5-7B-non-IT,0.11702113362203674,0.13190370370370372,0.2762222222222222
Qwen-2.5-3B-non-IT,0.289161280560541,0.4631185185185185,0.3222666666666667
Qwen-2.5-1.5B-non-IT,0.0787883659179348,0.10765925925925926,0.23404444444444444
Qwen-2.5-0.5B-non-IT,0.1680544677113746,0.33308888888888893,0.2594222222222222
Llama-3.1-non-IT,0.11406905666558456,0.22576767280804916,0.24217953743629947
Mistral-small-24B-non-IT,0.31621563822909643,0.4037111111111112,0.38124444444444444
QwQ,0.2952492089147518,0.30819047619047624,0.4182857142857143
