model,SIPS,SIPS_trimmed,SIPS_avg_from_as_ac,SIPS_std,AS,AS_trimmed,AS_std,AC,AC_trimmed,AC_std
Qwen2.5-72B-IT,0.35603397186786784,0.3702893626889991,0.3831543437438125,0.19197714201220747,0.3238137105898172,0.32071361576446045,0.2018715136370449,0.4691238555516023,0.4704147985561829,0.17026608906326102
Mistral-Small-24B-IT,0.32398956324863065,0.3372111381974494,0.34682889201957967,0.16407448554848858,0.29547596004985943,0.2862253749738939,0.1831495325445768,0.4197866979139427,0.418422398676569,0.1318025385357427
Phi-4-IT,0.2772234433894744,0.27843021922944383,0.32267264643699095,0.1956190706819,0.29948728217901965,0.2695238336887474,0.2634577609329228,0.3497491245881956,0.3417005728514419,0.11723010762784615
Llama-3.3-70B-IT,0.2166020775424487,0.2025241571709095,0.26625269186978706,0.20064211039353438,0.22607687432056722,0.1824043778370261,0.2547456415577853,0.32379362120245936,0.30980966270418636,0.1282339777479243
Gemma-2-27B-IT,0.35359476081304686,0.3708403383825614,0.38055626025385764,0.17432371238981917,0.33272017016607963,0.3281454432563588,0.19838005023624017,0.4444570705201522,0.4419830838127028,0.1474494504746612
Qwen2.5-72B-IT-HP,0.3066436520059118,0.30679062624899894,0.34130524507282767,0.22293476935263323,0.290178254412102,0.27820294757903063,0.2346487984165335,0.41430176390923845,0.40805097481863384,0.16891772690558132
Mistral-Small-24B-IT-HP,0.3040108176881644,0.3086558200181808,0.3314020533167674,0.1811245134351642,0.2830950763433756,0.2674337067549918,0.2036473383369952,0.3995870737733645,0.3965463287695618,0.13111250369079996
Phi-4-IT-HP,0.15321897728955067,0.1218925981846671,0.22779683604998724,0.2139588597328785,0.19698333034620438,0.12876904295984137,0.314789937028448,0.2700380740246588,0.25479324216157095,0.10212550354232378
Llama-3.3-70B-IT-HP,0.1841749331009478,0.1608180517911672,0.24551590223625958,0.20781026480909523,0.20731429155010986,0.14907656088657945,0.2830188189470568,0.3009765741774325,0.28506199890069767,0.1215218646181672
Gemma-2-27B-IT-HP,0.2869062118160228,0.28711917214826566,0.32110432408917466,0.20720553919969784,0.27070194815868914,0.25298631628367024,0.22086632044655166,0.3945698360370687,0.383003664094846,0.15875790007920615
GPT-4.1-IT,0.21467126384125867,0.21002523551544683,0.24083307308953358,0.17585304178960634,0.17869799601437755,0.16588375486671209,0.16064475763186886,0.3692116491825664,0.3521716229715672,0.16195402235480277
GPT-4.1-Mini-IT,0.23726332943370007,0.23517497847908933,0.2641040167878119,0.1794023983770287,0.19958198742756672,0.18660800973136865,0.16824210168700132,0.3902741072364402,0.37394896230430846,0.16835023053048936
GPT-4.1-Nano-IT,0.1676766273317055,0.15189407847674885,0.20088906306483986,0.16213219333601928,0.1492372207039229,0.12016257373809118,0.1735792145566857,0.30721944158717823,0.293359018854364,0.11561355308006603
GPT-4.1-IT-HP,0.1550979980669837,0.1341637174112223,0.1867768012750382,0.18206275013824655,0.1325045104303656,0.10603481039603477,0.1694690469704376,0.3163500760142648,0.29146935486980113,0.15167736653852423
GPT-4.1-Mini-IT-HP,0.15348779466630802,0.12969182641942806,0.1878102989781014,0.18789454299945685,0.1342466392491662,0.1041802478921261,0.17862610723485475,0.31249343546948677,0.2868432434599867,0.15014750110592856
GPT-4.1-Nano-IT-HP,0.17591124817328724,0.1572654822720522,0.2168801054098694,0.18136713316228353,0.16798267979035067,0.13365796911008254,0.20146239959409123,0.3059329348006469,0.2895150609193215,0.1277357503834185
Qwen2.5-32B-IT,0.20828585886652162,0.2049378634988366,0.22842634816056623,0.15461246823110023,0.16773739262482007,0.15576214886142783,0.14086728145222266,0.3579280659219777,0.3504313895415597,0.12846838125639498
Qwen2.5-14B-IT,0.24082670561622874,0.23521239154016504,0.27703117437012437,0.1972338033841257,0.22702501378834267,0.20756233402123495,0.20896637921242692,0.35528987473322526,0.34316629661964915,0.14235300907902232
Qwen2.5-7B-IT,0.2027643184045479,0.18743157025045043,0.24590491955252117,0.190544421409787,0.19944160082152976,0.16632028725788864,0.2203568759989513,0.3205923751740029,0.30703162334620465,0.12052226922273823
Qwen2.5-3B-IT,0.03294827506897313,0.0,0.06609910848136813,0.11236758016177598,0.03906682498514078,0.0,0.14797246732691507,0.21457255393521374,0.2,0.05499231943273218
Qwen2.5-1.5B-IT,0.14887389703784296,0.12796922807404967,0.20517934679742722,0.17347648459397194,0.17904920789875015,0.14003136440268255,0.2344802554679777,0.24023949244187953,0.2358383412211357,0.08661427441802433
Qwen2.5-0.5B-IT,0.15689034316000752,0.12723349921198757,0.23162639893377426,0.20537617867687022,0.2119872036120467,0.14691292058529618,0.3098485551859733,0.25527601262492744,0.24454915983545727,0.08980139028184984
Llama-3.1-70B-IT,0.2595740902163158,0.26079011912006983,0.28682171425589253,0.1691691418045957,0.2269532241526762,0.2098228272978907,0.1791015572002686,0.38959341903793054,0.3851070281468329,0.13601401126574347
Llama-3.1-8B-IT,0.21665940862847974,0.2077461184339382,0.259425204232386,0.16769284851337743,0.23322205482007716,0.20427239988478277,0.21747584866011946,0.29226161293829767,0.28616066527315537,0.10798222001273149
Llama-3-70B-IT,0.2254229111333068,0.21159076576811997,0.2852529800069136,0.20299912100698214,0.25679100777011443,0.20555325809188585,0.2892087683002408,0.3208107108862016,0.31241863804137465,0.12599389575476813
Llama-3-8B-IT,0.2179039674887517,0.20530190718457014,0.2581219353068543,0.202442902551307,0.21158143787717867,0.17976133320766974,0.22337550938071316,0.3309106823542133,0.31807693692710826,0.1274813958687969
Qwen2-72B-IT,0.20752686470065293,0.188274661502519,0.253931867027239,0.22010615285754473,0.20609910261226566,0.16873849976160057,0.24352681599400938,0.33067758131695074,0.31254262913607894,0.14875667145353494
Qwen1.5-72B-IT,0.31072936922920064,0.3203095116560183,0.34163383372846756,0.18316091787899427,0.30848259726561494,0.29624456808185734,0.21623475360298094,0.3827682107664561,0.38110792629618545,0.12718922885109182
Qwen1-72B-IT,0.2928155210486523,0.29309676548383923,0.324615802364739,0.19519523297850241,0.28386912555872884,0.26358302138841866,0.23041407217746773,0.3790205488327749,0.37672020552199387,0.12840429946600568
Qwen2.5-72B-Base,0.26574512010906093,0.2642735032563782,0.29856515569981634,0.16239862901157573,0.2528813512022896,0.22672176452880793,0.20801047474839038,0.3643940828260587,0.3603323519137397,0.11546295658790856
Qwen2.5-32B-Base,0.20024067101301435,0.1934488560766842,0.22984841042334783,0.14228520653735055,0.19139862068762992,0.16738945133592847,0.17570860093722562,0.2876299769568333,0.27823439999310795,0.09795365104366702
Qwen2.5-14B-Base,0.1678362116995165,0.14902404817518936,0.2073027682084348,0.17267264793295403,0.1589243767165199,0.12295768204845123,0.1968808660258187,0.2980249636583073,0.28269709023140405,0.11190935228806234
Qwen2.5-7B-Base,0.0952508930262202,0.07191771475134509,0.12720472329016436,0.13264706671166032,0.08512800149662988,0.05570872775803431,0.13278584783733974,0.2515298952622055,0.2368801761967496,0.0811801835169223
Qwen2.5-3B-Base,0.22538783126708986,0.21795267940013863,0.2731612941045018,0.18114436577315182,0.2569581539374439,0.22520905112062709,0.25180628725672366,0.2915454210527838,0.28807483171258325,0.09240101197781374
