model,SIPS,SIPS_trimmed,SIPS_avg_from_as_ac,SIPS_std,AS,AS_trimmed,AS_std,AC,AC_trimmed,AC_std
Qwen2.5-72B-IT,0.4137652648466812,0.4286511894070189,0.4611337229272154,0.2365672391052037,0.42445656290237066,0.4042980213954369,0.3019807588069192,0.5047489206998409,0.4982107355864811,0.2173515720562896
Mistral-Small-24B-IT,0.361513918480537,0.37067123369666394,0.4097804210993706,0.20257850955506976,0.3848740740740741,0.3499074074074074,0.3058965312754705,0.4381333333333333,0.43083333333333335,0.16183415379126045
Phi-4-IT,0.30288838171942506,0.2973249324519715,0.3961523021055434,0.233230541820401,0.4298265545709309,0.3358326233077724,0.5015848272714933,0.36737105203362874,0.35552399886395913,0.13837969350868506
Llama-3.3-70B-IT,0.2529433269826927,0.234767937055457,0.34419695212660234,0.24384488665942458,0.3465954707263501,0.24842374325475722,0.4650800057305736,0.3418314019541014,0.3246236864527123,0.15465865610811558
Gemma-2-27B-IT,0.4084236130052013,0.420842334954112,0.46333989935642345,0.22026660357943328,0.44203703703703706,0.40925000000000006,0.3333208125220456,0.48680000000000007,0.4747222222222222,0.18953505685697772
Qwen2.5-72B-IT-HP,0.34500427493197927,0.3442919848096815,0.40120154908439576,0.25904756793258105,0.3715632364493323,0.3363101079489696,0.3377444840608089,0.4359780047132758,0.4198233562315996,0.19832806140433626
Mistral-Small-24B-IT-HP,0.3323944911463021,0.3336812897161721,0.38759682484544705,0.2140642912368332,0.358496988740508,0.3139679424272162,0.32586760114387725,0.4218381775333857,0.4162904808635918,0.1555288943295876
Phi-4-IT-HP,0.1732956164285487,0.13391413776674116,0.30328032251255294,0.2515899965186339,0.33440691280439905,0.18439646712463204,0.6077455880090615,0.2774548311076198,0.2624141315014721,0.11570662597115255
Llama-3.3-70B-IT-HP,0.21520373360458095,0.1873759205726874,0.3252470311188252,0.24895242928411482,0.3338832155014402,0.20588812561334643,0.5301807300404934,0.31704634721131186,0.2957801766437685,0.1454199819260529
Gemma-2-27B-IT-HP,0.32234116690965536,0.31569153819371937,0.38125901287268865,0.24853480684769655,0.34344069128043997,0.29633627739614005,0.3399820767510802,0.4284367635506677,0.41000981354268884,0.19765035574481846
Qwen2.5-32B-IT,0.23882204764107712,0.23019330780822503,0.2772246061729275,0.1913977605568576,0.208,0.1763703703703704,0.2121604331224747,0.4155111111111111,0.4081666666666666,0.17471076062035562
Qwen2.5-14B-IT,0.26233684224606896,0.25012942827854007,0.3211913070866142,0.22838238600809643,0.2777185185185186,0.2303425925925926,0.3035499101114501,0.3808,0.3631111111111111,0.17720115374593046
Qwen2.5-7B-IT,0.22066298849350907,0.1997135882775493,0.2973837834034856,0.21935125290036436,0.258762962962963,0.18614814814814817,0.3524019879305361,0.34955555555555556,0.329,0.15716170802436513
Qwen2.5-3B-IT,0.03736443848536629,0.0,0.09683197983509512,0.13242280535875786,0.06242222222222223,0.0,0.26394445637175773,0.2157777777777778,0.2,0.0644287337171472
Qwen2.5-1.5B-IT,0.19797923068984158,0.17149925171017782,0.2917327707171682,0.24606470662940041,0.32557037037037034,0.2414351851851852,0.4630387905901846,0.26426666666666665,0.2642777777777778,0.12918039066875953
Qwen2.5-0.5B-IT,0.2015460460103151,0.16928067913074046,0.322187515364938,0.26560078284236943,0.39851111111111115,0.2637222222222222,0.612374859375417,0.2704,0.2606111111111111,0.1117311057852736
Llama-3.1-70B-IT,0.3016870727122957,0.29982748325917224,0.3589964229183283,0.2090726769602083,0.30627407407407414,0.2622962962962963,0.29652704820218456,0.4336444444444445,0.42444444444444446,0.17768025658538125
Llama-3.1-8B-IT,0.2336396377683848,0.21556900835671014,0.313807786576169,0.20511882072327453,0.3268888888888889,0.25086111111111115,0.3934111034227381,0.30173333333333335,0.2988333333333334,0.1374259234804134
Llama-3-70B-IT,0.271242981764431,0.2568479957352621,0.3805334137076726,0.24782956000398704,0.42663703703703704,0.30798148148148147,0.5596318005693608,0.34342222222222224,0.3318333333333333,0.14987053507594686
Llama-3-8B-IT,0.2301829296053902,0.21059428147836137,0.29599272825142825,0.22532424236633894,0.25753333333333334,0.18620370370370368,0.3447436542715382,0.3479555555555556,0.33411111111111114,0.14459997780168196
Qwen2-72B-IT,0.23335189511467894,0.20938816503287702,0.3087407782976959,0.2547910410898124,0.2776962962962963,0.20538888888888887,0.3770012628738859,0.3476000000000001,0.3274444444444444,0.1731307020721628
Qwen1.5-72B-IT,0.33561389786444407,0.3404834358121651,0.39824694366169533,0.21773075277894394,0.39894074074074076,0.342787037037037,0.3730430272663515,0.39755555555555555,0.3933888888888889,0.1518574705374243
Qwen1-72B-IT,0.3065005670919136,0.300712499731614,0.3707987554602967,0.22523327261464676,0.3429925925925926,0.278537037037037,0.3703018887799781,0.4035111111111111,0.4048888888888889,0.13995596485596973
Qwen2.5-72B-Base,0.29523877195424536,0.2894653119048048,0.37208358181355894,0.2011213278118147,0.3479777777777778,0.27625,0.3836814644634785,0.3997777777777778,0.3968888888888889,0.14675737935470817
