,none_pos_rate,none_neg_rate,none_neu_rate,left_pos_rate,left_neg_rate,left_neu_rate,right_pos_rate,right_neg_rate,right_neu_rate,center_pos_rate,center_neg_rate,center_neu_rate,left_pos_diff,left_neg_diff,left_neu_diff,right_pos_diff,right_neg_diff,right_neu_diff,center_pos_diff,center_neg_diff,center_neu_diff
m9xLaCZZhJM6sXhk,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.25,0.5416666666666666,0.20833333333333334,0.038461538461538464,0.9615384615384616,0.0,0.08,0.88,0.04,0.1388888888888889,0.23611111111111116,0.09722222222222224,0.07264957264957264,0.18376068376068377,0.1111111111111111,0.031111111111111103,0.10222222222222221,0.0711111111111111
mYUN3yU2ZzEiTRj8,0.0,0.0,1.0,0.10526315789473684,0.02631578947368421,0.868421052631579,0.04081632653061224,0.0,0.9591836734693877,0.10204081632653061,0.0,0.8979591836734694,0.10526315789473684,0.02631578947368421,0.13157894736842102,0.04081632653061224,0.0,0.04081632653061229,0.10204081632653061,0.0,0.10204081632653061
RZZEz0UTrcKGl8wt,0.0,0.0,1.0,0.0,0.375,0.625,0.0,0.2727272727272727,0.7272727272727273,0.0,0.2,0.8,0.0,0.375,0.375,0.0,0.2727272727272727,0.2727272727272727,0.0,0.2,0.19999999999999996
HHfhDcvNuoGEW17a,0.0,0.8571428571428571,0.14285714285714285,0.0,0.6451612903225806,0.3548387096774194,0.0,0.6363636363636364,0.36363636363636365,0.02857142857142857,0.5142857142857142,0.45714285714285713,0.0,0.21198156682027647,0.21198156682027652,0.0,0.22077922077922074,0.2207792207792208,0.02857142857142857,0.34285714285714286,0.3142857142857143
pNTtAAalU3m0Mrjy,0.09090909090909091,0.18181818181818182,0.7272727272727273,0.06451612903225806,0.22580645161290322,0.7096774193548387,0.11764705882352941,0.11764705882352941,0.7647058823529411,0.10714285714285714,0.21428571428571427,0.6785714285714286,0.02639296187683285,0.043988269794721396,0.017595307917888547,0.0267379679144385,0.06417112299465241,0.03743315508021383,0.016233766233766225,0.03246753246753245,0.04870129870129869
CHRU4zLQwzmR8dCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2m9ArRDdjOEUNBrK,0.0,0.9285714285714286,0.07142857142857142,0.0,0.925,0.075,0.0,0.9285714285714286,0.07142857142857142,0.0,0.6,0.4,0.0,0.0035714285714285587,0.0035714285714285726,0.0,0.0,0.0,0.0,0.3285714285714286,0.3285714285714286
4X4Y4u3Aivqgl2Me,0.0,0.25,0.75,0.0,0.0,1.0,0.0625,0.125,0.8125,0.0,0.26666666666666666,0.7333333333333333,0.0,0.25,0.25,0.0625,0.125,0.0625,0.0,0.016666666666666663,0.01666666666666672
YFGu6SHCGvBKbRtg,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YaVaTHok9jb2tMPW,0.0,0.7222222222222222,0.2777777777777778,0.0,0.7407407407407407,0.25925925925925924,0.0,0.4583333333333333,0.5416666666666666,0.0,0.7457627118644068,0.2542372881355932,0.0,0.01851851851851849,0.018518518518518545,0.0,0.2638888888888889,0.26388888888888884,0.0,0.02354048964218458,0.02354048964218458
bTlgskrBQAfX1K5J,0.0,1.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1428571428571429,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
