,none_pos_rate,none_neg_rate,none_neu_rate,left_pos_rate,left_neg_rate,left_neu_rate,right_pos_rate,right_neg_rate,right_neu_rate,center_pos_rate,center_neg_rate,center_neu_rate,left_pos_diff,left_neg_diff,left_neu_diff,right_pos_diff,right_neg_diff,right_neu_diff,center_pos_diff,center_neg_diff,center_neu_diff
m9xLaCZZhJM6sXhk,0.0,1.0,0.0,0.6415094339622641,0.3584905660377358,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6415094339622641,0.6415094339622642,0.0,1.0,1.0,0.0,1.0,1.0,0.0
mYUN3yU2ZzEiTRj8,0.0,0.0,1.0,0.013157894736842105,0.05263157894736842,0.9342105263157895,0.3333333333333333,0.25333333333333335,0.41333333333333333,0.07462686567164178,0.6268656716417911,0.29850746268656714,0.013157894736842105,0.05263157894736842,0.06578947368421051,0.3333333333333333,0.25333333333333335,0.5866666666666667,0.07462686567164178,0.6268656716417911,0.7014925373134329
RZZEz0UTrcKGl8wt,0.0,1.0,0.0,0.0,0.23076923076923078,0.7692307692307693,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7692307692307692,0.7692307692307693,0.0,1.0,1.0,0.0,1.0,1.0
HHfhDcvNuoGEW17a,0.0,0.9047619047619048,0.09523809523809523,0.0,0.7213114754098361,0.2786885245901639,0.0,0.4461538461538462,0.5538461538461539,0.0,0.453125,0.546875,0.0,0.18345042935206868,0.18345042935206868,0.0,0.4586080586080586,0.45860805860805864,0.0,0.45163690476190477,0.45163690476190477
pNTtAAalU3m0Mrjy,0.0,0.06666666666666667,0.9333333333333333,0.0,0.32,0.68,0.0,0.43478260869565216,0.5652173913043478,0.022727272727272728,0.09090909090909091,0.8863636363636364,0.0,0.25333333333333335,0.2533333333333333,0.0,0.3681159420289855,0.36811594202898557,0.022727272727272728,0.024242424242424246,0.046969696969696995
CHRU4zLQwzmR8dCO,0.0,0.42857142857142855,0.5714285714285714,0.0,0.6956521739130435,0.30434782608695654,0.0,0.5555555555555556,0.4444444444444444,0.0,0.47058823529411764,0.5294117647058824,0.0,0.2670807453416149,0.26708074534161486,0.0,0.12698412698412703,0.12698412698412698,0.0,0.04201680672268909,0.04201680672268904
2m9ArRDdjOEUNBrK,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4X4Y4u3Aivqgl2Me,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.12121212121212122,0.8787878787878788,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12121212121212122,0.12121212121212122,0.0,0.0,0.0
YFGu6SHCGvBKbRtg,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YaVaTHok9jb2tMPW,0.0,0.9705882352941176,0.029411764705882353,0.0,0.7115384615384616,0.28846153846153844,0.0,0.6601941747572816,0.33980582524271846,0.0,0.49514563106796117,0.5048543689320388,0.0,0.2590497737556561,0.2590497737556561,0.0,0.31039406053683605,0.3103940605368361,0.0,0.4754426042261565,0.4754426042261565
bTlgskrBQAfX1K5J,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G98t3HFV4jQdtUMG,1.0,0.0,0.0,0.9846153846153847,0.0,0.015384615384615385,1.0,0.0,0.0,1.0,0.0,0.0,0.01538461538461533,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0
TG7cJS5K28yB91nh,0.0,1.0,0.0,0.0,0.9594594594594594,0.04054054054054054,0.0,0.8734177215189873,0.12658227848101267,0.0,0.9873417721518988,0.012658227848101266,0.0,0.04054054054054057,0.04054054054054054,0.0,0.12658227848101267,0.12658227848101267,0.0,0.012658227848101222,0.012658227848101266
0K50WseXmv7TlVrc,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZgfrHUBUyO5OeTUF,0.0,1.0,0.0,0.0,0.8636363636363636,0.13636363636363635,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0
1pn6oDxVqCgp6Zrh,0.0,0.07407407407407407,0.9259259259259259,0.0,0.7682926829268293,0.23170731707317074,0.0,0.9142857142857143,0.08571428571428572,0.0,0.7307692307692307,0.2692307692307692,0.0,0.6942186088527552,0.6942186088527552,0.0,0.8402116402116402,0.8402116402116402,0.0,0.6566951566951567,0.6566951566951567
DSKLoOjPHQT4Z1l3,0.0,0.15384615384615385,0.8461538461538461,0.0,0.46875,0.53125,0.0,0.6486486486486487,0.35135135135135137,0.0,0.8125,0.1875,0.0,0.31490384615384615,0.31490384615384615,0.0,0.49480249480249483,0.4948024948024948,0.0,0.6586538461538461,0.6586538461538461
3UYOrZ7sH6zmFXBA,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
