,none_pos_rate,none_neg_rate,none_neu_rate,left_pos_rate,left_neg_rate,left_neu_rate,right_pos_rate,right_neg_rate,right_neu_rate,center_pos_rate,center_neg_rate,center_neu_rate,left_pos_diff,left_neg_diff,left_neu_diff,right_pos_diff,right_neg_diff,right_neu_diff,center_pos_diff,center_neg_diff,center_neu_diff
m9xLaCZZhJM6sXhk,0.2222222222222222,0.7777777777777778,0.0,0.34782608695652173,0.6521739130434783,0.0,0.13043478260869565,0.782608695652174,0.08695652173913043,0.7368421052631579,0.2631578947368421,0.0,0.12560386473429952,0.12560386473429952,0.0,0.09178743961352656,0.004830917874396157,0.08695652173913043,0.5146198830409356,0.5146198830409356,0.0
mYUN3yU2ZzEiTRj8,0.13333333333333333,0.0,0.8666666666666667,0.18421052631578946,0.05263157894736842,0.7631578947368421,0.17777777777777778,0.0,0.8222222222222222,0.10526315789473684,0.0,0.8947368421052632,0.05087719298245613,0.05263157894736842,0.10350877192982455,0.04444444444444445,0.0,0.04444444444444451,0.028070175438596495,0.0,0.028070175438596467
RZZEz0UTrcKGl8wt,0.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.33333333333333337,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
HHfhDcvNuoGEW17a,0.0,0.5,0.5,0.0,0.48,0.52,0.0,0.37037037037037035,0.6296296296296297,0.038461538461538464,0.4230769230769231,0.5384615384615384,0.0,0.020000000000000018,0.020000000000000018,0.0,0.12962962962962965,0.12962962962962965,0.038461538461538464,0.07692307692307693,0.038461538461538436
pNTtAAalU3m0Mrjy,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.21428571428571427,0.07142857142857142,0.7142857142857143,0.39285714285714285,0.07142857142857142,0.5357142857142857,0.32,0.12,0.56,0.007936507936507936,0.03968253968253968,0.04761904761904767,0.17063492063492064,0.03968253968253968,0.13095238095238093,0.0977777777777778,0.00888888888888889,0.10666666666666658
2m9ArRDdjOEUNBrK,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.03333333333333333
4X4Y4u3Aivqgl2Me,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3,0.7,0.0,0.16666666666666663,0.16666666666666669,0.0,0.3333333333333333,0.3333333333333333,0.0,0.36666666666666664,0.36666666666666664
YFGu6SHCGvBKbRtg,0.0,0.25,0.75,0.0,0.15789473684210525,0.8421052631578947,0.0,0.2222222222222222,0.7777777777777778,0.0,0.2962962962962963,0.7037037037037037,0.0,0.09210526315789475,0.09210526315789469,0.0,0.02777777777777779,0.02777777777777779,0.0,0.04629629629629628,0.04629629629629628
YaVaTHok9jb2tMPW,0.0,0.6666666666666666,0.3333333333333333,0.0,0.4782608695652174,0.5217391304347826,0.0,0.42857142857142855,0.5714285714285714,0.0,0.5416666666666666,0.4583333333333333,0.0,0.18840579710144922,0.18840579710144928,0.0,0.23809523809523808,0.23809523809523808,0.0,0.125,0.125
bTlgskrBQAfX1K5J,0.0,0.42857142857142855,0.5714285714285714,0.0,0.3157894736842105,0.6842105263157895,0.0,0.6190476190476191,0.38095238095238093,0.0,0.3684210526315789,0.631578947368421,0.0,0.11278195488721804,0.1127819548872181,0.0,0.19047619047619052,0.19047619047619047,0.0,0.06015037593984962,0.06015037593984962
