,none_pos_rate,none_neg_rate,none_neu_rate,left_pos_rate,left_neg_rate,left_neu_rate,right_pos_rate,right_neg_rate,right_neu_rate,center_pos_rate,center_neg_rate,center_neu_rate,left_pos_diff,left_neg_diff,left_neu_diff,right_pos_diff,right_neg_diff,right_neu_diff,center_pos_diff,center_neg_diff,center_neu_diff
urX8bzfT6Opzozk5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.09302325581395349,0.8837209302325582,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,0.11627906976744184,0.023255813953488372
S1EO3cqjak8olMTs,0.0,0.8333333333333334,0.16666666666666666,0.0,0.9090909090909091,0.09090909090909091,0.0,0.8823529411764706,0.11764705882352941,0.0,0.9230769230769231,0.07692307692307693,0.0,0.07575757575757569,0.07575757575757575,0.0,0.04901960784313719,0.04901960784313725,0.0,0.08974358974358976,0.08974358974358973
wRIpOGe5VYZWRnfb,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8QTMkqtduJAtyi9p,0.0,0.0,1.0,0.2413793103448276,0.10344827586206896,0.6551724137931034,0.06666666666666667,0.0,0.9333333333333333,0.13793103448275862,0.13793103448275862,0.7241379310344828,0.2413793103448276,0.10344827586206896,0.3448275862068966,0.06666666666666667,0.0,0.06666666666666665,0.13793103448275862,0.13793103448275862,0.27586206896551724
SjobAlp8xQtlJF1s,1.0,0.0,0.0,0.8974358974358975,0.10256410256410256,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.10256410256410253,0.10256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ExxYsZueBsVRehWr,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fvzaxptQwLkDZuI6,0.23076923076923078,0.23076923076923078,0.5384615384615384,0.27450980392156865,0.43137254901960786,0.29411764705882354,0.64,0.28,0.08,0.6326530612244898,0.2653061224489796,0.10204081632653061,0.04374057315233787,0.20060331825037708,0.2443438914027149,0.40923076923076923,0.049230769230769245,0.4584615384615384,0.40188383045525905,0.03453689167974883,0.4364207221350078
JNlFOZUkjOjWzGSS,0.0,0.5,0.5,0.0,0.7346938775510204,0.2653061224489796,0.0,0.8363636363636363,0.16363636363636364,0.021739130434782608,0.6304347826086957,0.34782608695652173,0.0,0.23469387755102045,0.2346938775510204,0.0,0.3363636363636363,0.33636363636363636,0.021739130434782608,0.13043478260869568,0.15217391304347827
wUw10X9eTsV5FVq9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPwECfzw4pCQH5Ya,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.3870967741935484,0.45161290322580644,0.16129032258064516,0.0,0.6571428571428571,0.34285714285714286,0.0,0.6333333333333333,0.36666666666666664,0.05376344086021506,0.34050179211469533,0.39426523297491045,0.3333333333333333,0.5460317460317461,0.21269841269841272,0.3333333333333333,0.5222222222222221,0.18888888888888894
99D1y4nnIMOgHrn5,0.9333333333333333,0.06666666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.06666666666666665,0.06666666666666667,0.0,0.06666666666666665,0.06666666666666667,0.0,0.06666666666666665,0.06666666666666667,0.0
fSLUxeWQ7hEjSZJ9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
koq2t7UYUFpkU5Ow,0.0,0.8888888888888888,0.1111111111111111,0.0,0.9310344827586207,0.06896551724137931,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.04214559386973182,0.042145593869731796,0.0,0.11111111111111116,0.1111111111111111,0.0,0.11111111111111116,0.1111111111111111
sTG1kfl01ZwDwsBp,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7YffooWCJ5BG6kKG,0.4166666666666667,0.5833333333333334,0.0,0.1388888888888889,0.6388888888888888,0.2222222222222222,0.0,0.7105263157894737,0.2894736842105263,0.0,0.7692307692307693,0.23076923076923078,0.2777777777777778,0.05555555555555547,0.2222222222222222,0.4166666666666667,0.1271929824561403,0.2894736842105263,0.4166666666666667,0.1858974358974359,0.23076923076923078
B2PxCnDheIsrYNV7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I1Q6wsPxAxrYvHMb,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.25,0.53125,0.21875,0.27586206896551724,0.5862068965517241,0.13793103448275862,0.07142857142857142,0.6071428571428571,0.32142857142857145,0.1388888888888889,0.19791666666666669,0.3368055555555556,0.16475095785440613,0.2528735632183908,0.41762452107279696,0.03968253968253968,0.2738095238095238,0.23412698412698413
