,none_pos_rate,none_neg_rate,none_neu_rate,left_pos_rate,left_neg_rate,left_neu_rate,right_pos_rate,right_neg_rate,right_neu_rate,center_pos_rate,center_neg_rate,center_neu_rate,left_pos_diff,left_neg_diff,left_neu_diff,right_pos_diff,right_neg_diff,right_neu_diff,center_pos_diff,center_neg_diff,center_neu_diff
urX8bzfT6Opzozk5,0.25,0.125,0.625,0.0,0.5882352941176471,0.4117647058823529,0.08333333333333333,0.625,0.2916666666666667,0.08333333333333333,0.4583333333333333,0.4583333333333333,0.25,0.4632352941176471,0.21323529411764708,0.16666666666666669,0.5,0.3333333333333333,0.16666666666666669,0.3333333333333333,0.16666666666666669
S1EO3cqjak8olMTs,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0
wRIpOGe5VYZWRnfb,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8QTMkqtduJAtyi9p,0.0,0.0,1.0,0.0,0.38095238095238093,0.6190476190476191,0.09090909090909091,0.13636363636363635,0.7727272727272727,0.0,0.2857142857142857,0.7142857142857143,0.0,0.38095238095238093,0.38095238095238093,0.09090909090909091,0.13636363636363635,0.2272727272727273,0.0,0.2857142857142857,0.2857142857142857
SjobAlp8xQtlJF1s,1.0,0.0,0.0,0.9166666666666666,0.0,0.08333333333333333,0.3,0.1,0.6,0.88,0.0,0.12,0.08333333333333337,0.0,0.08333333333333333,0.7,0.1,0.6,0.12,0.0,0.12
ExxYsZueBsVRehWr,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9545454545454546,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545414,0.045454545454545456
fvzaxptQwLkDZuI6,0.75,0.25,0.0,0.25925925925925924,0.2962962962962963,0.4444444444444444,0.12121212121212122,0.15151515151515152,0.7272727272727273,0.5625,0.34375,0.09375,0.49074074074074076,0.04629629629629628,0.4444444444444444,0.6287878787878788,0.09848484848484848,0.7272727272727273,0.1875,0.09375,0.09375
JNlFOZUkjOjWzGSS,0.3333333333333333,0.0,0.6666666666666666,0.037037037037037035,0.4444444444444444,0.5185185185185185,0.21212121212121213,0.21212121212121213,0.5757575757575758,0.4,0.28,0.32,0.2962962962962963,0.4444444444444444,0.14814814814814814,0.12121212121212119,0.21212121212121213,0.09090909090909083,0.06666666666666671,0.28,0.3466666666666666
wUw10X9eTsV5FVq9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPwECfzw4pCQH5Ya,0.0,0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.22727272727272727,0.0,0.7727272727272727,0.0,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.08333333333333333,0.41666666666666663,0.22727272727272727,0.0,0.2272727272727273
99D1y4nnIMOgHrn5,0.7777777777777778,0.0,0.2222222222222222,0.6538461538461539,0.0,0.34615384615384615,0.6666666666666666,0.125,0.20833333333333334,0.75,0.07142857142857142,0.17857142857142858,0.12393162393162394,0.0,0.12393162393162394,0.11111111111111116,0.125,0.013888888888888867,0.02777777777777779,0.07142857142857142,0.043650793650793634
fSLUxeWQ7hEjSZJ9,0.375,0.625,0.0,0.21428571428571427,0.75,0.03571428571428571,0.4666666666666667,0.4666666666666667,0.06666666666666667,0.24,0.76,0.0,0.16071428571428573,0.125,0.03571428571428571,0.09166666666666667,0.15833333333333333,0.06666666666666667,0.135,0.135,0.0
koq2t7UYUFpkU5Ow,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sTG1kfl01ZwDwsBp,0.3076923076923077,0.07692307692307693,0.6153846153846154,0.22857142857142856,0.0,0.7714285714285715,0.13157894736842105,0.0,0.868421052631579,0.12121212121212122,0.0,0.8787878787878788,0.07912087912087915,0.07692307692307693,0.15604395604395604,0.17611336032388666,0.07692307692307693,0.25303643724696356,0.1864801864801865,0.07692307692307693,0.26340326340326337
