,none_pos_rate,none_neg_rate,none_neu_rate,left_pos_rate,left_neg_rate,left_neu_rate,right_pos_rate,right_neg_rate,right_neu_rate,center_pos_rate,center_neg_rate,center_neu_rate,left_pos_diff,left_neg_diff,left_neu_diff,right_pos_diff,right_neg_diff,right_neu_diff,center_pos_diff,center_neg_diff,center_neu_diff
urX8bzfT6Opzozk5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1EO3cqjak8olMTs,0.0,0.5714285714285714,0.42857142857142855,0.0,0.8518518518518519,0.14814814814814814,0.0,0.7692307692307693,0.23076923076923078,0.0,0.7407407407407407,0.25925925925925924,0.0,0.28042328042328046,0.2804232804232804,0.0,0.19780219780219788,0.19780219780219777,0.0,0.1693121693121693,0.1693121693121693
wRIpOGe5VYZWRnfb,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8QTMkqtduJAtyi9p,1.0,0.0,0.0,0.0,0.07894736842105263,0.9210526315789473,0.0,0.0,1.0,0.0,0.10256410256410256,0.8974358974358975,1.0,0.07894736842105263,0.9210526315789473,1.0,0.0,1.0,1.0,0.10256410256410256,0.8974358974358975
SjobAlp8xQtlJF1s,1.0,0.0,0.0,1.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0
ExxYsZueBsVRehWr,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fvzaxptQwLkDZuI6,1.0,0.0,0.0,0.7758620689655172,0.15517241379310345,0.06896551724137931,0.4666666666666667,0.45,0.08333333333333333,0.7241379310344828,0.22413793103448276,0.05172413793103448,0.22413793103448276,0.15517241379310345,0.06896551724137931,0.5333333333333333,0.45,0.08333333333333333,0.27586206896551724,0.22413793103448276,0.05172413793103448
JNlFOZUkjOjWzGSS,0.0,1.0,0.0,0.4339622641509434,0.5283018867924528,0.03773584905660377,0.32653061224489793,0.6326530612244898,0.04081632653061224,0.14285714285714285,0.8392857142857143,0.017857142857142856,0.4339622641509434,0.4716981132075472,0.03773584905660377,0.32653061224489793,0.36734693877551017,0.04081632653061224,0.14285714285714285,0.1607142857142857,0.017857142857142856
wUw10X9eTsV5FVq9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPwECfzw4pCQH5Ya,0.5333333333333333,0.0,0.4666666666666667,0.2903225806451613,0.22580645161290322,0.4838709677419355,0.7714285714285715,0.0,0.22857142857142856,0.32608695652173914,0.0,0.6739130434782609,0.24301075268817202,0.22580645161290322,0.017204301075268824,0.23809523809523814,0.0,0.2380952380952381,0.2072463768115942,0.0,0.2072463768115942
99D1y4nnIMOgHrn5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fSLUxeWQ7hEjSZJ9,0.5714285714285714,0.42857142857142855,0.0,0.0,1.0,0.0,0.4909090909090909,0.509090909090909,0.0,0.3684210526315789,0.631578947368421,0.0,0.5714285714285714,0.5714285714285714,0.0,0.08051948051948049,0.08051948051948049,0.0,0.20300751879699247,0.20300751879699247,0.0
