,none_pos_rate,none_neg_rate,none_neu_rate,left_pos_rate,left_neg_rate,left_neu_rate,right_pos_rate,right_neg_rate,right_neu_rate,center_pos_rate,center_neg_rate,center_neu_rate,left_pos_diff,left_neg_diff,left_neu_diff,right_pos_diff,right_neg_diff,right_neu_diff,center_pos_diff,center_neg_diff,center_neu_diff
urX8bzfT6Opzozk5,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.9428571428571428,0.05714285714285714,0.0,0.7714285714285715,0.22857142857142856,0.0,0.6944444444444444,0.3055555555555556,0.42857142857142855,0.6571428571428571,0.22857142857142856,0.42857142857142855,0.48571428571428577,0.057142857142857134,0.42857142857142855,0.4087301587301587,0.019841269841269882
S1EO3cqjak8olMTs,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.23529411764705882,0.7647058823529411,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.0,0.5,0.5,0.0,0.7647058823529411,0.7647058823529411,0.1111111111111111,0.7777777777777778,0.6666666666666666
wRIpOGe5VYZWRnfb,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8QTMkqtduJAtyi9p,0.2,0.0,0.8,0.5625,0.0,0.4375,0.2222222222222222,0.0,0.7777777777777778,0.8,0.0,0.2,0.3625,0.0,0.36250000000000004,0.0222222222222222,0.0,0.022222222222222254,0.6000000000000001,0.0,0.6000000000000001
SjobAlp8xQtlJF1s,1.0,0.0,0.0,0.9285714285714286,0.023809523809523808,0.047619047619047616,0.95,0.05,0.0,0.9534883720930233,0.0,0.046511627906976744,0.0714285714285714,0.023809523809523808,0.047619047619047616,0.050000000000000044,0.05,0.0,0.046511627906976716,0.0,0.046511627906976744
ExxYsZueBsVRehWr,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fvzaxptQwLkDZuI6,0.0,0.23529411764705882,0.7647058823529411,0.07317073170731707,0.2682926829268293,0.6585365853658537,0.24390243902439024,0.24390243902439024,0.5121951219512195,0.041666666666666664,0.2708333333333333,0.6875,0.07317073170731707,0.032998565279770464,0.10616929698708744,0.24390243902439024,0.008608321377331418,0.2525107604017216,0.041666666666666664,0.035539215686274495,0.07720588235294112
JNlFOZUkjOjWzGSS,0.0,0.5555555555555556,0.4444444444444444,0.17391304347826086,0.5652173913043478,0.2608695652173913,0.09375,0.4375,0.46875,0.037037037037037035,0.4074074074074074,0.5555555555555556,0.17391304347826086,0.009661835748792202,0.18357487922705312,0.09375,0.11805555555555558,0.02430555555555558,0.037037037037037035,0.1481481481481482,0.11111111111111116
wUw10X9eTsV5FVq9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPwECfzw4pCQH5Ya,0.1111111111111111,0.0,0.8888888888888888,0.3333333333333333,0.0,0.6666666666666666,0.2,0.0,0.8,0.20833333333333334,0.0,0.7916666666666666,0.2222222222222222,0.0,0.2222222222222222,0.0888888888888889,0.0,0.0888888888888888,0.09722222222222224,0.0,0.09722222222222221
99D1y4nnIMOgHrn5,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.8181818181818182,0.030303030303030304,0.15151515151515152,0.71875,0.0625,0.21875,0.8378378378378378,0.05405405405405406,0.10810810810810811,0.015151515151515138,0.053030303030303025,0.06818181818181819,0.11458333333333337,0.02083333333333333,0.13541666666666669,0.0045045045045044585,0.02927927927927927,0.024774774774774785
fSLUxeWQ7hEjSZJ9,0.0,1.0,0.0,0.0,0.9565217391304348,0.043478260869565216,0.0,1.0,0.0,0.0,0.9574468085106383,0.0425531914893617,0.0,0.04347826086956519,0.043478260869565216,0.0,0.0,0.0,0.0,0.04255319148936165,0.0425531914893617
koq2t7UYUFpkU5Ow,0.0,1.0,0.0,0.0,0.9393939393939394,0.06060606060606061,0.0,0.9032258064516129,0.0967741935483871,0.0,0.9032258064516129,0.0967741935483871,0.0,0.06060606060606055,0.06060606060606061,0.0,0.09677419354838712,0.0967741935483871,0.0,0.09677419354838712,0.0967741935483871
sTG1kfl01ZwDwsBp,0.11764705882352941,0.0,0.8823529411764706,0.0,0.0,1.0,0.11320754716981132,0.0,0.8867924528301887,0.0967741935483871,0.0,0.9032258064516129,0.11764705882352941,0.0,0.11764705882352944,0.004439511653718087,0.0,0.004439511653718142,0.020872865275142316,0.0,0.020872865275142316
