,none_pos_rate,none_neg_rate,none_neu_rate,left_pos_rate,left_neg_rate,left_neu_rate,right_pos_rate,right_neg_rate,right_neu_rate,center_pos_rate,center_neg_rate,center_neu_rate,left_pos_diff,left_neg_diff,left_neu_diff,right_pos_diff,right_neg_diff,right_neu_diff,center_pos_diff,center_neg_diff,center_neu_diff
KCe9XrMFqhKjfRsr,0.0,0.07142857142857142,0.9285714285714286,0.0,0.03773584905660377,0.9622641509433962,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,1.0,0.0,0.03369272237196765,0.03369272237196763,0.0,0.3571428571428571,0.3571428571428572,0.0,0.07142857142857142,0.0714285714285714
hdGqXF93QTCKtL5f,0.75,0.08333333333333333,0.16666666666666666,0.225,0.175,0.6,0.5789473684210527,0.18421052631578946,0.23684210526315788,0.6756756756756757,0.08108108108108109,0.24324324324324326,0.525,0.09166666666666666,0.43333333333333335,0.17105263157894735,0.10087719298245613,0.07017543859649122,0.07432432432432434,0.002252252252252243,0.0765765765765766
94G4ztLbuc3Y5htF,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9VJANqbTriOxTDOM,0.0,0.0,1.0,0.0,0.045454545454545456,0.9545454545454546,0.10714285714285714,0.0,0.8928571428571429,0.0,0.047619047619047616,0.9523809523809523,0.0,0.045454545454545456,0.045454545454545414,0.10714285714285714,0.0,0.1071428571428571,0.0,0.047619047619047616,0.04761904761904767
KGdMpPGh5F8L8Af2,0.0,0.0,1.0,0.03773584905660377,0.03773584905660377,0.9245283018867925,0.022222222222222223,0.022222222222222223,0.9555555555555556,0.08771929824561403,0.0,0.9122807017543859,0.03773584905660377,0.03773584905660377,0.07547169811320753,0.022222222222222223,0.022222222222222223,0.0444444444444444,0.08771929824561403,0.0,0.08771929824561409
zOrIZJggYXzxzBQ9,0.7333333333333333,0.0,0.26666666666666666,0.5348837209302325,0.0,0.46511627906976744,0.7692307692307693,0.0,0.23076923076923078,0.2777777777777778,0.0,0.7222222222222222,0.19844961240310077,0.0,0.19844961240310077,0.03589743589743599,0.0,0.03589743589743588,0.4555555555555555,0.0,0.45555555555555555
uhC7i6X4OSzc2mXp,0.14285714285714285,0.0,0.8571428571428571,0.029411764705882353,0.029411764705882353,0.9411764705882353,0.05405405405405406,0.08108108108108109,0.8648648648648649,0.1,0.0,0.9,0.11344537815126049,0.029411764705882353,0.08403361344537819,0.08880308880308879,0.08108108108108109,0.007722007722007818,0.042857142857142844,0.0,0.04285714285714293
5r9DUt7clgI1Ub7t,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pG7vpssJrkZEe0I6,0.0,0.07142857142857142,0.9285714285714286,0.0,0.3125,0.6875,0.0,0.02857142857142857,0.9714285714285714,0.0,0.15151515151515152,0.8484848484848485,0.0,0.24107142857142858,0.2410714285714286,0.0,0.04285714285714286,0.042857142857142816,0.0,0.0800865800865801,0.0800865800865801
UxkzJci1zvW0B1Al,0.0,0.6666666666666666,0.3333333333333333,0.0,0.9166666666666666,0.08333333333333333,0.0,0.9761904761904762,0.023809523809523808,0.0,0.8947368421052632,0.10526315789473684,0.0,0.25,0.25,0.0,0.30952380952380953,0.30952380952380953,0.0,0.22807017543859653,0.22807017543859648
JEcwanxBozEYULgh,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X8qf9qjXBrwAF4dY,0.0,0.25,0.75,0.0,0.21052631578947367,0.7894736842105263,0.038461538461538464,0.07692307692307693,0.8846153846153846,0.0,0.07407407407407407,0.9259259259259259,0.0,0.03947368421052633,0.03947368421052633,0.038461538461538464,0.17307692307692307,0.13461538461538458,0.0,0.17592592592592593,0.17592592592592593
jZNFS14qxQyZOYjw,0.0,0.42857142857142855,0.5714285714285714,0.0,0.32432432432432434,0.6756756756756757,0.0,0.375,0.625,0.0,0.35135135135135137,0.6486486486486487,0.0,0.1042471042471042,0.10424710424710426,0.0,0.05357142857142855,0.0535714285714286,0.0,0.07722007722007718,0.07722007722007729
xdtHHInAXBqhMrRS,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,1.0,0.0,0.17647058823529413,0.6470588235294118,0.17647058823529413,0.05263157894736842,0.9210526315789473,0.02631578947368421,0.14285714285714285,0.4285714285714286,0.2857142857142857,0.03361344537815128,0.0756302521008404,0.10924369747899157,0.09022556390977443,0.34962406015037595,0.2593984962406015
iKebvoeJal4coCg6,0.0,1.0,0.0,0.0,0.7,0.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.30000000000000004,0.3,0.0,0.0,0.0,0.0,0.0,0.0
YOorwzeAfDr87MdD,0.0,0.0,1.0,0.0,0.10526315789473684,0.8947368421052632,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0
YTEckE0O8uFNuB3g,0.25,0.4375,0.3125,0.23684210526315788,0.42105263157894735,0.34210526315789475,0.3111111111111111,0.35555555555555557,0.3333333333333333,0.28,0.24,0.48,0.013157894736842118,0.016447368421052655,0.029605263157894746,0.061111111111111116,0.08194444444444443,0.020833333333333315,0.030000000000000027,0.1975,0.16749999999999998
2iLL19GEVe34xVmx,0.6111111111111112,0.0,0.3888888888888889,0.4716981132075472,0.11320754716981132,0.41509433962264153,0.48214285714285715,0.19642857142857142,0.32142857142857145,0.46,0.14,0.4,0.13941299790356398,0.11320754716981132,0.026205450733752633,0.128968253968254,0.19642857142857142,0.06746031746031744,0.15111111111111114,0.14,0.011111111111111127
