,none_pos_rate,none_neg_rate,none_neu_rate,left_pos_rate,left_neg_rate,left_neu_rate,right_pos_rate,right_neg_rate,right_neu_rate,center_pos_rate,center_neg_rate,center_neu_rate,left_pos_diff,left_neg_diff,left_neu_diff,right_pos_diff,right_neg_diff,right_neu_diff,center_pos_diff,center_neg_diff,center_neu_diff
KCe9XrMFqhKjfRsr,0.0,0.0,1.0,0.0,0.016666666666666666,0.9833333333333333,0.0,0.02127659574468085,0.9787234042553191,0.0,0.0,1.0,0.0,0.016666666666666666,0.01666666666666672,0.0,0.02127659574468085,0.021276595744680882,0.0,0.0,0.0
hdGqXF93QTCKtL5f,0.1875,0.0625,0.75,0.5918367346938775,0.10204081632653061,0.30612244897959184,0.5555555555555556,0.044444444444444446,0.4,0.6,0.044444444444444446,0.35555555555555557,0.40433673469387754,0.039540816326530615,0.44387755102040816,0.3680555555555556,0.018055555555555554,0.35,0.4125,0.018055555555555554,0.39444444444444443
94G4ztLbuc3Y5htF,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9VJANqbTriOxTDOM,0.0,0.0,1.0,0.07142857142857142,0.0,0.9285714285714286,0.0,0.043478260869565216,0.9565217391304348,0.0,0.0,1.0,0.07142857142857142,0.0,0.0714285714285714,0.0,0.043478260869565216,0.04347826086956519,0.0,0.0,0.0
KGdMpPGh5F8L8Af2,0.36363636363636365,0.0,0.6363636363636364,0.024390243902439025,0.0,0.975609756097561,0.02564102564102564,0.02564102564102564,0.9487179487179487,0.1,0.0,0.9,0.3392461197339246,0.0,0.3392461197339246,0.337995337995338,0.02564102564102564,0.3123543123543123,0.26363636363636367,0.0,0.26363636363636367
zOrIZJggYXzxzBQ9,0.23529411764705882,0.4117647058823529,0.35294117647058826,0.36666666666666664,0.03333333333333333,0.6,0.35135135135135137,0.02702702702702703,0.6216216216216216,0.6625,0.2,0.1375,0.13137254901960782,0.3784313725490196,0.24705882352941172,0.11605723370429255,0.3847376788553259,0.26868044515103334,0.42720588235294116,0.2117647058823529,0.21544117647058825
uhC7i6X4OSzc2mXp,0.09090909090909091,0.0,0.9090909090909091,0.0,0.13793103448275862,0.8620689655172413,0.05714285714285714,0.0,0.9428571428571428,0.0967741935483871,0.16129032258064516,0.7419354838709677,0.09090909090909091,0.13793103448275862,0.047021943573667735,0.03376623376623377,0.0,0.03376623376623378,0.0058651026392961825,0.16129032258064516,0.1671554252199413
5r9DUt7clgI1Ub7t,0.0,1.0,0.0,0.0,0.8076923076923077,0.19230769230769232,0.0,0.9545454545454546,0.045454545454545456,0.0,1.0,0.0,0.0,0.1923076923076923,0.19230769230769232,0.0,0.045454545454545414,0.045454545454545456,0.0,0.0,0.0
pG7vpssJrkZEe0I6,0.0,0.0,1.0,0.0,0.18181818181818182,0.8181818181818182,0.0,0.061224489795918366,0.9387755102040817,0.0,0.027777777777777776,0.9722222222222222,0.0,0.18181818181818182,0.18181818181818177,0.0,0.061224489795918366,0.061224489795918324,0.0,0.027777777777777776,0.02777777777777779
UxkzJci1zvW0B1Al,0.0,1.0,0.0,0.0,0.6875,0.3125,0.0,0.8571428571428571,0.14285714285714285,0.0,0.8292682926829268,0.17073170731707318,0.0,0.3125,0.3125,0.0,0.1428571428571429,0.14285714285714285,0.0,0.1707317073170732,0.17073170731707318
JEcwanxBozEYULgh,0.0,0.7894736842105263,0.21052631578947367,0.0,0.8205128205128205,0.1794871794871795,0.0,0.7441860465116279,0.2558139534883721,0.0,0.8913043478260869,0.10869565217391304,0.0,0.031039136302294157,0.031039136302294185,0.0,0.04528763769889843,0.04528763769889843,0.0,0.10183066361556059,0.10183066361556063
X8qf9qjXBrwAF4dY,0.0,0.2857142857142857,0.7142857142857143,0.0,0.12,0.88,0.0,0.2,0.8,0.0,0.05,0.95,0.0,0.1657142857142857,0.1657142857142857,0.0,0.08571428571428569,0.08571428571428574,0.0,0.2357142857142857,0.23571428571428565
