,none_pos_rate,none_neg_rate,none_neu_rate,left_pos_rate,left_neg_rate,left_neu_rate,right_pos_rate,right_neg_rate,right_neu_rate,center_pos_rate,center_neg_rate,center_neu_rate,left_pos_diff,left_neg_diff,left_neu_diff,right_pos_diff,right_neg_diff,right_neu_diff,center_pos_diff,center_neg_diff,center_neu_diff
KCe9XrMFqhKjfRsr,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hdGqXF93QTCKtL5f,0.3333333333333333,0.0,0.6666666666666666,0.12121212121212122,0.24242424242424243,0.6363636363636364,0.3125,0.125,0.5625,0.39285714285714285,0.10714285714285714,0.5,0.2121212121212121,0.24242424242424243,0.030303030303030276,0.020833333333333315,0.125,0.10416666666666663,0.059523809523809534,0.10714285714285714,0.16666666666666663
94G4ztLbuc3Y5htF,1.0,0.0,0.0,0.875,0.041666666666666664,0.08333333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.125,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
9VJANqbTriOxTDOM,0.0,0.0,1.0,0.0,0.0,1.0,0.05263157894736842,0.0,0.9473684210526315,0.0,0.11764705882352941,0.8823529411764706,0.0,0.0,0.0,0.05263157894736842,0.0,0.052631578947368474,0.0,0.11764705882352941,0.11764705882352944
KGdMpPGh5F8L8Af2,0.16666666666666666,0.0,0.8333333333333334,0.08333333333333333,0.0,0.9166666666666666,0.08695652173913043,0.0,0.9130434782608695,0.041666666666666664,0.0,0.9583333333333334,0.08333333333333333,0.0,0.08333333333333326,0.07971014492753623,0.0,0.07971014492753614,0.125,0.0,0.125
zOrIZJggYXzxzBQ9,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.2391304347826087,0.15217391304347827,0.6086956521739131,0.2826086956521739,0.17391304347826086,0.5434782608695652,0.24444444444444444,0.15555555555555556,0.6,0.09627329192546585,0.009316770186335421,0.10559006211180122,0.13975155279503104,0.031055900621118016,0.1708074534161491,0.10158730158730159,0.012698412698412709,0.11428571428571432
uhC7i6X4OSzc2mXp,0.0,0.0,1.0,0.043478260869565216,0.13043478260869565,0.8260869565217391,0.0,0.16666666666666666,0.8333333333333334,0.05,0.2,0.75,0.043478260869565216,0.13043478260869565,0.17391304347826086,0.0,0.16666666666666666,0.16666666666666663,0.05,0.2,0.25
5r9DUt7clgI1Ub7t,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.33333333333333337,0.3333333333333333,0.0,0.33333333333333337,0.3333333333333333,0.0,0.33333333333333337,0.3333333333333333
pG7vpssJrkZEe0I6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.041666666666666664,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.04166666666666663
UxkzJci1zvW0B1Al,0.0,0.625,0.375,0.0,0.5862068965517241,0.41379310344827586,0.0,0.7666666666666667,0.23333333333333334,0.0,0.5172413793103449,0.4827586206896552,0.0,0.03879310344827591,0.038793103448275856,0.0,0.14166666666666672,0.14166666666666666,0.0,0.10775862068965514,0.1077586206896552
JEcwanxBozEYULgh,0.0,0.625,0.375,0.0,0.7777777777777778,0.2222222222222222,0.0,0.7037037037037037,0.2962962962962963,0.0,0.6086956521739131,0.391304347826087,0.0,0.1527777777777778,0.1527777777777778,0.0,0.07870370370370372,0.07870370370370372,0.0,0.016304347826086918,0.016304347826086973
X8qf9qjXBrwAF4dY,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.125,0.875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0
jZNFS14qxQyZOYjw,0.0,0.16666666666666666,0.8333333333333334,0.0,0.2894736842105263,0.7105263157894737,0.0,0.1891891891891892,0.8108108108108109,0.0,0.16666666666666666,0.8333333333333334,0.0,0.12280701754385967,0.1228070175438597,0.0,0.022522522522522542,0.022522522522522515,0.0,0.0,0.0
xdtHHInAXBqhMrRS,0.6666666666666666,0.25,0.08333333333333333,0.029411764705882353,0.7058823529411765,0.2647058823529412,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.038461538461538464,0.8076923076923077,0.15384615384615385,0.6372549019607843,0.4558823529411765,0.18137254901960786,0.5238095238095237,0.4642857142857143,0.05952380952380952,0.6282051282051282,0.5576923076923077,0.07051282051282053
iKebvoeJal4coCg6,0.0,1.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.6428571428571429,0.35714285714285715,0.0,0.875,0.125,0.0,0.1428571428571429,0.14285714285714285,0.0,0.3571428571428571,0.35714285714285715,0.0,0.125,0.125
YOorwzeAfDr87MdD,0.0,0.4,0.6,0.0,0.32142857142857145,0.6785714285714286,0.0,0.2857142857142857,0.7142857142857143,0.0,0.3,0.7,0.0,0.07857142857142857,0.07857142857142863,0.0,0.11428571428571432,0.11428571428571432,0.0,0.10000000000000003,0.09999999999999998
YTEckE0O8uFNuB3g,0.0,0.2,0.8,0.0,0.25,0.75,0.0,0.21875,0.78125,0.0,0.26666666666666666,0.7333333333333333,0.0,0.04999999999999999,0.050000000000000044,0.0,0.01874999999999999,0.018750000000000044,0.0,0.06666666666666665,0.06666666666666676
2iLL19GEVe34xVmx,0.1,0.2,0.7,0.43902439024390244,0.2682926829268293,0.2926829268292683,0.28205128205128205,0.28205128205128205,0.4358974358974359,0.36585365853658536,0.4146341463414634,0.21951219512195122,0.3390243902439024,0.06829268292682927,0.4073170731707317,0.18205128205128204,0.08205128205128204,0.26410256410256405,0.2658536585365854,0.21463414634146338,0.48048780487804876
Yeo2Xlj5bHxXvanC,0.0,0.9166666666666666,0.08333333333333333,0.0,0.6923076923076923,0.3076923076923077,0.0,0.7428571428571429,0.2571428571428571,0.0,0.6756756756756757,0.32432432432432434,0.0,0.22435897435897434,0.2243589743589744,0.0,0.17380952380952375,0.1738095238095238,0.0,0.24099099099099097,0.24099099099099103
CzaO828tudjzPdXN,0.0,0.75,0.25,0.0,0.5652173913043478,0.43478260869565216,0.0,0.631578947368421,0.3684210526315789,0.0,0.5294117647058824,0.47058823529411764,0.0,0.18478260869565222,0.18478260869565216,0.0,0.11842105263157898,0.11842105263157893,0.0,0.22058823529411764,0.22058823529411764
amdJcJYRTVKCLh51,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2vFkoXLEjKgbXPss,0.3333333333333333,0.0,0.6666666666666666,0.375,0.0,0.625,0.25,0.0,0.75,0.1111111111111111,0.0,0.8888888888888888,0.041666666666666685,0.0,0.04166666666666663,0.08333333333333331,0.0,0.08333333333333337,0.2222222222222222,0.0,0.2222222222222222
T6BDHvZijSUxXXl5,0.0,0.9090909090909091,0.09090909090909091,0.0,0.5185185185185185,0.48148148148148145,0.0,0.9,0.1,0.0,0.3333333333333333,0.6666666666666666,0.0,0.39057239057239057,0.39057239057239057,0.0,0.009090909090909038,0.009090909090909094,0.0,0.5757575757575757,0.5757575757575757
7bPH9i3PfLNpsc8x,0.0,1.0,0.0,0.0,0.9629629629629629,0.037037037037037035,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.03703703703703709,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0
8WWsWKbmvF3rNheo,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.023809523809523808,0.11904761904761904,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.0,0.023809523809523808,0.11904761904761904,0.09523809523809523
5BfeUDdsNP3T9vr8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9545454545454546,0.045454545454545456,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.045454545454545414,0.045454545454545456,0.0,0.16666666666666663,0.16666666666666666
YYT4a1OOENsqYR3Y,0.0,0.75,0.25,0.0,0.631578947368421,0.3684210526315789,0.0,0.76,0.24,0.0,0.7272727272727273,0.2727272727272727,0.0,0.11842105263157898,0.11842105263157893,0.0,0.010000000000000009,0.010000000000000009,0.0,0.022727272727272707,0.022727272727272707
5hj92SNRdx4j5T83,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCpuimkh80BVN6JO,0.0,0.6666666666666666,0.3333333333333333,0.0,0.7692307692307693,0.23076923076923078,0.0,0.7272727272727273,0.2727272727272727,0.0,0.75,0.25,0.0,0.10256410256410264,0.10256410256410253,0.0,0.06060606060606066,0.06060606060606061,0.0,0.08333333333333337,0.08333333333333331
bJYaaV7YE41o5civ,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOSUKeNNEQt0enNt,0.125,0.25,0.625,0.23809523809523808,0.14285714285714285,0.6190476190476191,0.15789473684210525,0.21052631578947367,0.631578947368421,0.11764705882352941,0.17647058823529413,0.7058823529411765,0.11309523809523808,0.10714285714285715,0.005952380952380931,0.032894736842105254,0.03947368421052633,0.006578947368421018,0.00735294117647059,0.07352941176470587,0.08088235294117652
fnZC4wO5KpRfB0ze,0.0,0.42857142857142855,0.5714285714285714,0.0,0.8,0.2,0.0,0.42105263157894735,0.5789473684210527,0.0,0.3888888888888889,0.6111111111111112,0.0,0.3714285714285715,0.3714285714285714,0.0,0.007518796992481203,0.007518796992481258,0.0,0.03968253968253965,0.039682539682539764
fyC8tQSsQhdvdXS7,0.0,0.5,0.5,0.0,0.25806451612903225,0.7419354838709677,0.0,0.2,0.8,0.0,0.3225806451612903,0.6774193548387096,0.0,0.24193548387096775,0.24193548387096775,0.0,0.3,0.30000000000000004,0.0,0.1774193548387097,0.17741935483870963
TxxC3xyVXBSpV0bd,0.0,1.0,0.0,0.0,0.6875,0.3125,0.0,1.0,0.0,0.0,0.8484848484848485,0.15151515151515152,0.0,0.3125,0.3125,0.0,0.0,0.0,0.0,0.1515151515151515,0.15151515151515152
6VFyHdSMkavgdyyE,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GgNFDpxVKMjDYnWx,0.4,0.5,0.1,0.34210526315789475,0.5,0.15789473684210525,0.3,0.5333333333333333,0.16666666666666666,0.34285714285714286,0.5714285714285714,0.08571428571428572,0.05789473684210528,0.0,0.05789473684210525,0.10000000000000003,0.033333333333333326,0.06666666666666665,0.05714285714285716,0.0714285714285714,0.01428571428571429
