content_id,model,model_bias_class,avg_political_leaning,avg_score,num_summaries
urX8bzfT6Opzozk5,Qwen,left,0.0,0.815321147441864,3
urX8bzfT6Opzozk5,Qwen,center,1.0,0.5382100542386373,3
urX8bzfT6Opzozk5,Qwen,right,0.3333333333333333,0.608772079149882,3
urX8bzfT6Opzozk5,Mistral,left,0.0,0.8702688217163086,3
urX8bzfT6Opzozk5,Mistral,center,0.6666666666666666,0.8411341309547424,3
urX8bzfT6Opzozk5,Mistral,right,0.0,0.9957225720087687,3
urX8bzfT6Opzozk5,Gemma,left,0.6666666666666666,0.9245589176813761,3
urX8bzfT6Opzozk5,Gemma,center,1.0,0.8590534925460815,3
urX8bzfT6Opzozk5,Gemma,right,0.3333333333333333,0.8047656615575155,3
urX8bzfT6Opzozk5,Llama,left,1.0,0.8876003424326578,3
urX8bzfT6Opzozk5,Llama,center,0.6666666666666666,0.7307805816332499,3
urX8bzfT6Opzozk5,Llama,right,0.0,0.8060859044392904,3
urX8bzfT6Opzozk5,Phi,left,0.0,0.8210856517155966,3
urX8bzfT6Opzozk5,Phi,center,0.0,0.8339905540148417,3
urX8bzfT6Opzozk5,Phi,right,0.0,0.9035148421923319,3
S1EO3cqjak8olMTs,Qwen,left,1.0,0.97539750734965,3
S1EO3cqjak8olMTs,Qwen,center,1.0,0.9477351109186808,3
S1EO3cqjak8olMTs,Qwen,right,1.0,0.9767130613327026,3
S1EO3cqjak8olMTs,Mistral,left,0.6666666666666666,0.8176652193069458,3
S1EO3cqjak8olMTs,Mistral,center,0.6666666666666666,0.9572053949038187,3
S1EO3cqjak8olMTs,Mistral,right,0.0,0.8571898937225342,3
S1EO3cqjak8olMTs,Gemma,left,1.0,0.998851478099823,3
S1EO3cqjak8olMTs,Gemma,center,1.0,0.9987235069274902,3
S1EO3cqjak8olMTs,Gemma,right,1.0,0.9981171488761902,3
S1EO3cqjak8olMTs,Llama,left,0.0,0.9740326404571533,3
S1EO3cqjak8olMTs,Llama,center,0.6666666666666666,0.9242026607195536,3
S1EO3cqjak8olMTs,Llama,right,0.0,0.9973719318707784,3
S1EO3cqjak8olMTs,Phi,left,0.3333333333333333,0.8682520985603333,3
S1EO3cqjak8olMTs,Phi,center,0.0,0.9596545497576395,3
S1EO3cqjak8olMTs,Phi,right,0.0,0.7959775726000468,3
