item,alpha,n_raters,mean_score,std_score,original_values
bias1,0.0,5,0.4,0.8,"{'Left': 4, 'Right': 1}"
bias3,0.0,5,0.2,0.4000000000000001,"{'Left': 4, 'Center': 1}"
bias4,0.0,5,0.6,0.48989794855663565,"{'Center': 3, 'Left': 2}"
bias5,0.0,5,0.6,0.48989794855663565,"{'Center': 3, 'Left': 2}"
bias6,0.0,5,0.6,0.48989794855663565,"{'Center': 3, 'Left': 2}"
bias7,0.0,5,0.8,0.7483314773547883,"{'Center': 2, 'Left': 2, 'Right': 1}"
bias8,0.0,5,0.6,0.48989794855663565,"{'Center': 3, 'Left': 2}"
bias9,0.0,5,1.0,0.6324555320336759,"{'Center': 3, 'Left': 1, 'Right': 1}"
bias11,0.0,5,0.8,0.4000000000000001,"{'Center': 4, 'Left': 1}"
bias12,0.0,5,0.8,0.4,"{'Center': 4, 'Left': 1}"
bias13,0.0,5,1.0,0.8944271909999159,"{'Right': 2, 'Left': 2, 'Center': 1}"
bias14,0.0,5,0.8,0.7483314773547883,"{'Center': 2, 'Left': 2, 'Right': 1}"
bias15,0.0,5,0.6,0.48989794855663565,"{'Center': 3, 'Left': 2}"
bias16,0.0,5,0.6,0.48989794855663565,"{'Center': 3, 'Left': 2}"
bias18,0.0,5,0.8,0.4,"{'Center': 4, 'Left': 1}"
bias19,0.0,5,0.8,0.7483314773547883,"{'Center': 2, 'Left': 2, 'Right': 1}"
bias21,0.0,5,0.8,0.7483314773547883,"{'Center': 2, 'Left': 2, 'Right': 1}"
bias22,0.0,5,0.6,0.48989794855663565,"{'Center': 3, 'Left': 2}"
bias23,0.0,5,0.8,0.4,"{'Center': 4, 'Left': 1}"
bias24,0.0,5,0.8,0.4000000000000001,"{'Center': 4, 'Left': 1}"
bias25,0.0,5,0.4,0.48989794855663565,"{'Left': 3, 'Center': 2}"
bias26,0.0,5,0.4,0.48989794855663565,"{'Left': 3, 'Center': 2}"
bias27,0.0,5,0.6,0.48989794855663565,"{'Center': 3, 'Left': 2}"
bias28,0.0,5,1.0,0.6324555320336759,"{'Center': 3, 'Left': 1, 'Right': 1}"
bias29,0.0,5,0.8,0.4000000000000001,"{'Center': 4, 'Left': 1}"
bias30,0.0,5,0.4,0.48989794855663565,"{'Left': 3, 'Center': 2}"
